locus	CF39 Log2FoldChange_25vs29	CF39 padj_25vs29	CF39 Log2FoldChange_25vs33	CF39 padj_25vs33	CF39 Log2FoldChange_25vs37	CF39 padj_25vs37	CF39 Log2FoldChange_25vs41	CF39 padj_25vs41	gene	product	locusNumber
PROKKA_00089_sense	0.800127956410238	0.000124257125797948	0.819241345034153	0.0198276678165419	0.5742538377826	0.0132575010054963	NA	NA	tssC1	"TssC1"	PROKKA_00089
PROKKA_00090_sense	NA	NA	0.907406524148902	0.0308180182504942	NA	NA	NA	NA	hcp1_1	"Hcp1"	PROKKA_00090
PROKKA_00094_sense	1.36763486358072	0.00407969858254886	1.26446781295261	0.0455469834649605	1.45433589662999	0.00140184359980389	1.34791420210737	0.0106449748283114	tssG1_1	"TssG1"	PROKKA_00094
PROKKA_00096_sense	NA	NA	1.60526868698428	5.10456223425715e-05	0.859705889363289	0.0422428163699099	NA	NA	vgrG1_1	"VgrG1"	PROKKA_00096
PROKKA_00098_sense	NA	NA	NA	NA	0.746892329883935	0.00590930955951414	NA	NA	n/a	"PAAR motif-containing protein"	PROKKA_00098
PROKKA_00104_antis	NA	NA	NA	NA	1.35409593414399	0.0199812175168075	1.45359474833425	0.0275597701872696	n/a	"hypothetical protein"	PROKKA_00104
PROKKA_00104_sense	0.980403486086211	0.00051464456821205	1.29774607744867	0.000557475464016301	1.18710757032473	9.52168862178803e-06	1.71948486125577	3.07212165203151e-07	n/a	"hypothetical protein"	PROKKA_00104
PROKKA_00129_sense	NA	NA	NA	NA	NA	NA	-1.42706810275479	0.00493127637342342	n/a	"putative plasmid stabilisation system protein"	PROKKA_00129
PROKKA_00133_antis	NA	NA	NA	NA	NA	NA	2.07267977351026	0.0367122529581946	n/a	"putative alkylphosphonate uptake protein"	PROKKA_00133
PROKKA_00133_sense	NA	NA	NA	NA	-0.54700244143246	0.0252678891946649	NA	NA	n/a	"putative alkylphosphonate uptake protein"	PROKKA_00133
PROKKA_00142_antis	NA	NA	NA	NA	1.39460448743337	0.00773802480566185	NA	NA	n/a	"ABC transporter permease"	PROKKA_00142
PROKKA_00144_antis	NA	NA	NA	NA	NA	NA	1.25569727076002	0.020082674897258	ahpC	"alkyl hydroperoxide reductase subunit C"	PROKKA_00144
PROKKA_00144_sense	NA	NA	NA	NA	NA	NA	-1.08985011369465	5.20024216668833e-06	ahpC	"alkyl hydroperoxide reductase subunit C"	PROKKA_00144
PROKKA_00145_antis	NA	NA	NA	NA	NA	NA	3.19602165117746	0.00251896190688284	ahpF_1	"alkyl hydroperoxide reductase subunit F"	PROKKA_00145
PROKKA_00145_sense	NA	NA	NA	NA	NA	NA	-1.37124607303727	0.00034323201687938	ahpF_1	"alkyl hydroperoxide reductase subunit F"	PROKKA_00145
PROKKA_00146_sense	NA	NA	NA	NA	NA	NA	3.53410759734162	7.69837874084063e-11	ppk2	"polyphosphate kinase"	PROKKA_00146
PROKKA_00165_antis	NA	NA	NA	NA	NA	NA	2.05164498059038	0.0262506452089214	n/a	"hypothetical protein"	PROKKA_00165
PROKKA_00166_sense	NA	NA	NA	NA	NA	NA	-1.6315982521768	1.10378376684841e-05	opdC_1	"histidine porin OpdC"	PROKKA_00166
PROKKA_00169_sense	NA	NA	NA	NA	NA	NA	-0.949171972119866	0.000349477210155254	n/a	"putative outer membrane protein"	PROKKA_00169
PROKKA_00176_sense	NA	NA	NA	NA	NA	NA	-0.895678574074316	0.00486145109071278	siaA	"SiaA"	PROKKA_00176
PROKKA_00205_sense	1.92145268462895	4.54419306908114e-05	2.05082843700547	0.0109024040289709	2.1433781382395	2.21106093710486e-06	4.95049340330666	1.16961426841135e-08	n/a	"hypothetical protein"	PROKKA_00205
PROKKA_00229_sense	NA	NA	NA	NA	1.62577294108055	0.00345286060927452	NA	NA	dapA_1	"dihydrodipicolinate synthase"	PROKKA_00229
PROKKA_00230_antis	NA	NA	NA	NA	NA	NA	-0.743472903585832	0.00729552302491185	n/a	"class II aldolase/adducin domain-containing protein"	PROKKA_00230
PROKKA_00231_sense	NA	NA	NA	NA	NA	NA	-1.23127014661151	0.0273520377109518	pauR_1	"PauR"	PROKKA_00231
PROKKA_00260_sense	NA	NA	NA	NA	NA	NA	1.36590359411025	0.00114153501080355	hudA_1	"HudA"	PROKKA_00260
PROKKA_00264_sense	NA	NA	NA	NA	NA	NA	1.02642377657197	0.000482573398862693	n/a	"ISPsy11 transposase OrfA"	PROKKA_00264
PROKKA_00266_antis	NA	NA	NA	NA	0.585498520373137	0.0214161892302247	NA	NA	n/a	"hypothetical protein"	PROKKA_00266
PROKKA_00266_sense	NA	NA	NA	NA	0.868558391559614	0.00242044776555814	1.08660531394508	0.019174179743079	n/a	"hypothetical protein"	PROKKA_00266
PROKKA_00271_sense	NA	NA	NA	NA	-1.11267319291563	0.00026494284040717	NA	NA	gabD_1	"succinate-semialdehyde dehydrogenase"	PROKKA_00271
PROKKA_00273_sense	NA	NA	-1.12827484579044	0.0131144984016635	-1.22428708169489	0.000389569073748635	-1.06704528675849	0.00721868723087609	gabT	"4-aminobutyrate aminotransferase"	PROKKA_00273
PROKKA_00282_sense	NA	NA	NA	NA	NA	NA	2.40283463195383	0.000886171139691966	vfr_1	"transcriptional regulator Vfr"	PROKKA_00282
PROKKA_00284_sense	0.901007279441617	0.000528329265165	NA	NA	NA	NA	NA	NA	n/a	"putative putative Zn-dependent protease with chaperone function"	PROKKA_00284
PROKKA_00290_sense	NA	NA	NA	NA	NA	NA	-1.33526112632409	0.0027248542234925	sbp	"sulfate-binding protein precursor"	PROKKA_00290
PROKKA_00291_sense	NA	NA	NA	NA	NA	NA	-1.63618575031821	0.000290870613754236	n/a	"hypothetical protein"	PROKKA_00291
PROKKA_00293_sense	NA	NA	NA	NA	-0.642914424091546	0.00143994363881671	NA	NA	desA_1	"delta-9 fatty acid desaturase DesA"	PROKKA_00293
PROKKA_00298_sense	-0.409488316897784	0.0342487014823017	-0.710035597342527	0.0267773407282009	-0.989522632125721	2.3825357646189e-09	-1.33230579538959	2.86286835865875e-08	oprE	"Anaerobically-induced outer membrane porin OprE precursor"	PROKKA_00298
PROKKA_00300_sense	1.35006345771211	0.000516233479246197	NA	NA	1.24380671397598	0.000887362528065925	1.24606940872659	0.00726344408217688	aguB_1	"N-carbamoylputrescine amidohydrolase"	PROKKA_00300
PROKKA_00302_sense	NA	NA	NA	NA	NA	NA	1.62154216278782	0.0124334698194015	spuD_1	"polyamine transport protein"	PROKKA_00302
PROKKA_00303_sense	NA	NA	NA	NA	-0.483711338797967	0.0420075912159725	NA	NA	spuI	"Glutamylpolyamine synthetase"	PROKKA_00303
PROKKA_00305_sense	NA	NA	NA	NA	-0.557979679755304	0.0414598656002509	NA	NA	spuA	"putative glutamine amidotransferase"	PROKKA_00305
PROKKA_00306_sense	NA	NA	NA	NA	-0.484042173712842	0.0415861650421888	NA	NA	spuB	"Glutamylpolyamine synthetase"	PROKKA_00306
PROKKA_00309_sense	NA	NA	NA	NA	NA	NA	-0.682030827391566	0.0260965992933769	spuE_2	"polyamine transport protein"	PROKKA_00309
PROKKA_00311_antis	NA	NA	NA	NA	NA	NA	1.35577392715038	0.00104374471260626	spuG	"polyamine transport protein PotH"	PROKKA_00311
PROKKA_00315_sense	NA	NA	NA	NA	-1.17700628122255	2.09998692948308e-07	-0.86193434213597	0.00681817747734303	n/a	"hypothetical protein"	PROKKA_00315
PROKKA_00325_sense	NA	NA	NA	NA	NA	NA	-1.6074751530105	4.86561502800965e-08	n/a	"ATPase"	PROKKA_00325
PROKKA_00326_sense	NA	NA	NA	NA	-0.49120308580517	0.00995086050150379	-1.08192047297969	4.4616905171e-05	serA_1	"D-3-phosphoglycerate dehydrogenase"	PROKKA_00326
PROKKA_00327_antis	NA	NA	NA	NA	-0.419470218800633	0.0170294309482534	-1.20650684319731	1.19176012777562e-07	n/a	"P2"	PROKKA_00327
PROKKA_00348_sense	NA	NA	NA	NA	-1.27687115327839	0.0332028307820167	-1.43314621755604	0.0255104845780619	n/a	"putative hydrolase"	PROKKA_00348
PROKKA_00353_sense	NA	NA	NA	NA	-0.718801262283323	0.0126636734773968	-0.913648653235984	0.0069102712588896	n/a	"putative permease"	PROKKA_00353
PROKKA_00354_sense	NA	NA	NA	NA	-0.868855265949498	0.0292014503739962	-1.25507905906068	0.00526310488096503	lgt	"prolipoprotein diacylglyceryl transferase"	PROKKA_00354
PROKKA_00367_sense	NA	NA	NA	NA	NA	NA	-1.08966439185668	0.00597598867345635	n/a	"putative SAM-dependent methyltransferase"	PROKKA_00367
PROKKA_00376_sense	NA	NA	NA	NA	NA	NA	-0.864053588374263	0.0130474158745863	coaD	"phosphopantetheine adenylyltransferase"	PROKKA_00376
PROKKA_00381_sense	NA	NA	NA	NA	1.35959627312041	0.00995086050150379	1.59566005925771	0.00492783271468608	n/a	"putative acetyltransferase"	PROKKA_00381
PROKKA_00385_sense	NA	NA	NA	NA	-0.815395430395372	0.0264284419858941	-1.06466812917784	0.0100916493316121	n/a	"putative peptidase"	PROKKA_00385
PROKKA_00390_sense	NA	NA	NA	NA	0.525071235916858	0.00275839052306686	NA	NA	rpoH	"sigma factor RpoH"	PROKKA_00390
PROKKA_00404_sense	NA	NA	NA	NA	NA	NA	-1.08834521013518	6.78742046476339e-05	metX	"homoserine O-acetyltransferase"	PROKKA_00404
PROKKA_00410_sense	NA	NA	NA	NA	-0.720471721746928	0.0250653841879769	-0.816553689887595	0.0275851340057051	pilT_1	"twitching motility protein PilT"	PROKKA_00410
PROKKA_00413_sense	NA	NA	NA	NA	-1.07854769572715	0.0244986397609836	-1.18517010581741	0.0270386128914775	n/a	"TM2 domain-containing protein"	PROKKA_00413
PROKKA_00414_sense	NA	NA	NA	NA	NA	NA	-1.46627817039825	0.00718907591581767	n/a	"cystathionine beta-synthase"	PROKKA_00414
PROKKA_00415_sense	NA	NA	NA	NA	NA	NA	-1.42793411639107	0.0178162393016432	metZ_1	"o-succinylhomoserine sulfhydrylase"	PROKKA_00415
PROKKA_00423_sense	NA	NA	NA	NA	NA	NA	0.551849304590661	0.049130320259678	pilG_1	"twitching motility protein PilG"	PROKKA_00423
PROKKA_00426_sense	NA	NA	NA	NA	NA	NA	0.662579012690555	0.0367339011450987	pilJ_1	"twitching motility protein PilJ"	PROKKA_00426
PROKKA_00434_sense	NA	NA	NA	NA	1.3780915143713	0.0077087412568316	NA	NA	n/a	"16S ribosomal RNA methyltransferase RsmE"	PROKKA_00434
PROKKA_00435_sense	0.689205275708509	0.00376407501855849	NA	NA	0.904247660079631	1.75693739153035e-05	NA	NA	bioA	"adenosylmethionine-8-amino-7-oxononanoate aminotransferase"	PROKKA_00435
PROKKA_00437_sense	NA	NA	NA	NA	-0.410391951122729	0.0468612037405114	-0.862925489311563	0.0144895666170287	n/a	"cytochrome b561"	PROKKA_00437
PROKKA_00438_sense	-0.759873900606977	0.000143391147844339	NA	NA	-0.676784004753055	0.00341970419263652	-1.42935864202616	6.50600708272021e-07	pasP	"PasP"	PROKKA_00438
PROKKA_00439_sense	NA	NA	NA	NA	NA	NA	-0.823603390247003	0.0114494857377599	mexR_1	"multidrug resistance operon repressor MexR"	PROKKA_00439
PROKKA_00440_sense	NA	NA	NA	NA	-0.739622907108085	0.000378027063764984	-1.38267123487806	3.82165915599099e-07	mexA	"Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor"	PROKKA_00440
PROKKA_00441_sense	NA	NA	NA	NA	-0.846082836104117	2.91316948176997e-07	-1.57824508701519	1.94466821582749e-11	mexB	"Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB"	PROKKA_00441
PROKKA_00442_sense	-0.517954666538343	0.0180679312276846	NA	NA	-0.758539490656057	0.000221455436567452	-1.38535160492088	1.04596117783495e-06	oprM_1	"Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor"	PROKKA_00442
PROKKA_00462_sense	NA	NA	NA	NA	0.842894878517802	0.000180365446943797	NA	NA	n/a	"putative long-chain acyl-CoA thioester hydrolase family protein"	PROKKA_00462
PROKKA_00468_sense	NA	NA	NA	NA	-1.00527660070939	0.0298646626850987	-1.60242074057253	0.00168252702887274	dbpA_1	"RNA helicase DbpA"	PROKKA_00468
PROKKA_00469_antis	-1.18512185499406	0.00496393925357037	NA	NA	-2.29167926042232	1.05287701312233e-08	-1.34971208803649	0.00431050997320643	n/a	"cspA"	PROKKA_00469
PROKKA_00469_sense	NA	NA	NA	NA	-0.824729636397655	0.000425699265177825	-1.48998693846767	7.8270519339123e-06	n/a	"cspA"	PROKKA_00469
PROKKA_00470_antis	NA	NA	NA	NA	-1.79136683011081	0.0490313801205712	NA	NA	capB_1	"cold acclimation protein B"	PROKKA_00470
PROKKA_00470_sense	NA	NA	NA	NA	-1.12478170298357	5.19737784039753e-08	-1.49657137137437	7.79074064002966e-05	capB_1	"cold acclimation protein B"	PROKKA_00470
PROKKA_00474_sense	NA	NA	NA	NA	NA	NA	2.24454996359421	0.00698247302063029	clpB_1	"ClpB protein"	PROKKA_00474
PROKKA_00486_sense	NA	NA	NA	NA	2.22211742443323	0.000106939755859031	NA	NA	fiuA_2	"Ferrichrome receptor FiuA"	PROKKA_00486
PROKKA_00488_sense	NA	NA	NA	NA	2.51423163223729	0.00333130209223004	NA	NA	fiuI_1	"FiuI"	PROKKA_00488
PROKKA_00498_sense	NA	NA	NA	NA	-0.875366100381842	2.12162512600944e-06	-1.51004505307812	4.27252983642635e-09	glcB	"malate synthase G"	PROKKA_00498
PROKKA_00513_antis	NA	NA	NA	NA	NA	NA	0.749967948448367	0.0112724655492124	n/a	"hypothetical protein"	PROKKA_00513
PROKKA_00514_antis	NA	NA	NA	NA	1.06858506797301	0.00498505369914007	1.29764802022687	0.00493504355654326	cupB2_1	"chaperone CupB2"	PROKKA_00514
PROKKA_00515_sense	0.449620834615831	0.0220386806395148	NA	NA	NA	NA	NA	NA	bioB	"biotin synthase"	PROKKA_00515
PROKKA_00521_sense	NA	NA	NA	NA	NA	NA	-1.0035954396233	0.00913501674040794	liuA_1	"putative isovaleryl-CoA dehydrogenase"	PROKKA_00521
PROKKA_00526_sense	NA	NA	NA	NA	NA	NA	3.73748352689019	0.00306737087681411	nirJ	"heme d1 biosynthesis protein NirJ"	PROKKA_00526
PROKKA_00531_sense	NA	NA	NA	NA	NA	NA	5.4762191401418	8.1995031423124e-05	nirF_2	"heme d1 biosynthesis protein NirF"	PROKKA_00531
PROKKA_00533_sense	NA	NA	NA	NA	NA	NA	6.0186629556438	0.000476889547139751	nirM	"cytochrome c-551 precursor"	PROKKA_00533
PROKKA_00534_sense	NA	NA	2.89736679015887	0.000927395401651891	NA	NA	5.56567705554671	2.18986976778329e-19	nirS	"nitrite reductase precursor"	PROKKA_00534
PROKKA_00542_sense	1.34563681921481	0.000284148410120723	3.36023173041568	0.00476381012710635	NA	NA	2.83258063963526	5.04812609562453e-18	dnr	"transcriptional regulator Dnr"	PROKKA_00542
PROKKA_00544_sense	NA	NA	NA	NA	-1.64844856277972	0.00785450673130034	-1.76459606140555	0.0105474183806087	cynR_2	"transcriptional regulator CynR"	PROKKA_00544
PROKKA_00562_sense	NA	NA	NA	NA	NA	NA	2.9886137487601	8.11136568102619e-05	gbcB_1	"GbcB"	PROKKA_00562
PROKKA_00563_sense	NA	NA	NA	NA	NA	NA	-0.96097696763818	0.000535487144946519	metK	"methionine adenosyltransferase"	PROKKA_00563
PROKKA_00569_sense	0.59023483097524	0.0172085285562731	NA	NA	NA	NA	NA	NA	pgk	"phosphoglycerate kinase"	PROKKA_00569
PROKKA_00571_sense	NA	NA	NA	NA	NA	NA	-1.12301947874672	9.44950200822023e-05	n/a	"lipoprotein"	PROKKA_00571
PROKKA_00572_sense	NA	NA	NA	NA	NA	NA	-0.652168255722099	0.0417345369737732	fda	"fructose-1-6-bisphosphate aldolase"	PROKKA_00572
PROKKA_00576_sense	NA	NA	NA	NA	NA	NA	-0.924036064820278	0.0168147306035766	n/a	"fumarate reductase succinate dehydrogenase flavo protein"	PROKKA_00576
PROKKA_00577_sense	NA	NA	NA	NA	-0.879022201424746	1.09235239630428e-05	-1.32460728253257	4.00786214746083e-06	n/a	"putative metal-dependent hydrolase"	PROKKA_00577
PROKKA_00578_sense	-0.667488140024301	0.0203176307362157	NA	NA	NA	NA	-1.19769019239886	0.000445297675240309	n/a	"hypothetical protein"	PROKKA_00578
PROKKA_00580_sense	NA	NA	NA	NA	NA	NA	-1.87176658180651	1.69112240425295e-10	yhaI	"Inner membrane protein YhaI"	PROKKA_00580
PROKKA_00593_sense	NA	NA	NA	NA	NA	NA	-1.49243713816095	0.0350614038105115	morA_2	"motility regulator"	PROKKA_00593
PROKKA_00594_sense	NA	NA	NA	NA	NA	NA	-0.808692108395781	0.000559807098933933	rpoD	"sigma factor RpoD"	PROKKA_00594
PROKKA_00595_sense	NA	NA	NA	NA	0.621769384289061	0.0112491884395563	NA	NA	dnaG	"DNA primase"	PROKKA_00595
PROKKA_00597_sense	-0.487565359318877	0.0145275512085716	NA	NA	-0.534766939462682	0.00186740972564169	-1.4519322557122	1.14324373089509e-08	rpsU	"30S ribosomal protein S21"	PROKKA_00597
PROKKA_00613_antis	-0.555296288518021	0.0272520050546642	NA	NA	NA	NA	NA	NA	ostA	"organic solvent tolerance protein OstA precursor"	PROKKA_00613
PROKKA_00621_sense	NA	NA	NA	NA	NA	NA	2.0053544465041	7.66354908459039e-05	agtA_2	"AgtA"	PROKKA_00621
PROKKA_00622_sense	NA	NA	NA	NA	NA	NA	1.97334615673972	0.000348691068353748	agtB_3	"AgtB"	PROKKA_00622
PROKKA_00625_sense	-0.752554048832849	0.0130681466354221	NA	NA	-1.13900991431933	0.000197818589756826	-1.76566930367956	1.60732231395857e-06	rpe	"ribulose-phosphate 3-epimerase"	PROKKA_00625
PROKKA_00626_sense	NA	NA	NA	NA	-0.569925483832467	0.0388684568726569	-0.838145619478494	0.0118845789612454	n/a	"phosphoglycolate phosphatase"	PROKKA_00626
PROKKA_00628_sense	NA	NA	NA	NA	1.28941857316319	1.84033676143021e-09	1.28922511860922	0.000171867886342466	prtN	"transcriptional regulator PrtN"	PROKKA_00628
PROKKA_00629_sense	NA	NA	NA	NA	0.724432738112398	0.00410258817213355	0.931503716298607	0.00468234949469454	prtR_1	"transcriptional regulator PrtR"	PROKKA_00629
PROKKA_00631_sense	NA	NA	NA	NA	NA	NA	-1.86990428388447	1.45615286106549e-05	ptrB_1	"repressor PtrB"	PROKKA_00631
PROKKA_00632_sense	NA	NA	NA	NA	NA	NA	-1.77360180015733	1.03949788273616e-05	n/a	"hypothetical protein"	PROKKA_00632
PROKKA_00633_sense	NA	NA	NA	NA	-0.879936961075017	0.0227997357339006	-2.58473423902466	8.89467282911013e-08	n/a	"putative holin"	PROKKA_00633
PROKKA_00634_sense	NA	NA	NA	NA	-0.761247035280071	0.0252678891946649	-2.12553318068914	3.67192937085197e-08	n/a	"phage protein"	PROKKA_00634
PROKKA_00635_sense	NA	NA	NA	NA	-1.56769785024198	6.82805736711658e-06	-3.86035411120306	7.57867958296578e-17	n/a	"putative baseplate assembly protein V"	PROKKA_00635
PROKKA_00636_sense	NA	NA	NA	NA	-1.60105296264572	4.00912585825876e-08	-3.96151239275052	8.13710238609611e-25	n/a	"putative bacteriophage protein"	PROKKA_00636
PROKKA_00637_sense	NA	NA	NA	NA	-1.41604677461275	2.08647654050127e-06	-3.55334479715056	2.9956609893481e-17	n/a	"putative bacteriophage protein"	PROKKA_00637
PROKKA_00638_sense	NA	NA	NA	NA	-1.13996004740183	0.000669522050360736	-3.56106088478708	5.43455852186716e-12	n/a	"putative bacteriophage protein"	PROKKA_00638
PROKKA_00639_sense	NA	NA	NA	NA	-1.25893166798725	2.26844574619537e-08	-2.99935862408832	1.31221821754714e-30	n/a	"putative bacteriophage protein"	PROKKA_00639
PROKKA_00640_sense	NA	NA	NA	NA	-1.49978537008283	1.74938700102767e-09	-3.76327742081109	8.21008238631952e-26	n/a	"prophage tail fimber assembly protein"	PROKKA_00640
PROKKA_00641_sense	NA	NA	NA	NA	-0.82215285968425	0.00725535538464279	-3.41129712297723	3.4867090724578e-28	n/a	"putative bacteriophage protein"	PROKKA_00641
PROKKA_00642_sense	NA	NA	NA	NA	-0.895605391330392	0.00447262665572562	-3.00746990136332	2.1530650348329e-16	n/a	"putative bacteriophage protein"	PROKKA_00642
PROKKA_00643_sense	NA	NA	NA	NA	NA	NA	-3.58631147564145	3.28436254336338e-14	n/a	"hypothetical protein"	PROKKA_00643
PROKKA_00644_antis	NA	NA	NA	NA	-2.16958217470205	0.0493772430332259	NA	NA	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00644_sense	NA	NA	NA	NA	-0.955516905163675	0.000271335831153833	-3.10435321630624	4.06721359468194e-25	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00645_sense	NA	NA	NA	NA	-0.848033213710242	0.0186188384863583	-2.89939733606701	6.853044878291e-10	n/a	"putative tail formation protein"	PROKKA_00645
PROKKA_00647_sense	0.561274995105966	0.0395410183967232	NA	NA	NA	NA	-2.3876123938401	2.82166001861024e-12	n/a	"putative phage late control gene D protein"	PROKKA_00647
PROKKA_00648_sense	NA	NA	NA	NA	NA	NA	-2.87962312445494	0.00237144147284545	n/a	"putative lytic enzyme"	PROKKA_00648
PROKKA_00653_antis	NA	NA	NA	NA	NA	NA	-1.99979729618415	0.0212410094693654	trpC	"indole-3-glycerol-phosphate synthase"	PROKKA_00653
PROKKA_00654_sense	NA	NA	NA	NA	-0.411397289419517	0.0250653841879769	NA	NA	vfr_2	"transcriptional regulator Vfr"	PROKKA_00654
PROKKA_00655_sense	-0.738819878139632	0.0433239680607639	NA	NA	-0.979671465581574	0.00392413152075395	-1.1956995265862	0.00304091591099954	n/a	"putative redox protein"	PROKKA_00655
PROKKA_00656_antis	NA	NA	NA	NA	-1.22713100585106	0.0347675052139273	NA	NA	speD	"S-adenosylmethionine decarboxylase proenzyme"	PROKKA_00656
PROKKA_00656_sense	NA	NA	NA	NA	NA	NA	-0.788746106639474	0.00378196875073549	speD	"S-adenosylmethionine decarboxylase proenzyme"	PROKKA_00656
PROKKA_00661_sense	NA	NA	NA	NA	NA	NA	-0.675895406475262	0.0402776940525848	n/a	"membrane protein"	PROKKA_00661
PROKKA_00666_sense	0.731056155107747	0.00385698320793221	NA	NA	0.766374093940286	6.56723739395138e-05	0.779846839148974	0.00351658709671313	n/a	"putative integral membrane protein"	PROKKA_00666
PROKKA_00667_sense	NA	NA	NA	NA	NA	NA	-0.821891416867387	0.0249363052500771	n/a	"iron-sulfur cluster insertion protein ErpA"	PROKKA_00667
PROKKA_00669_sense	NA	NA	NA	NA	0.430249365469918	0.0148702418353775	NA	NA	n/a	"putative metallopeptidase"	PROKKA_00669
PROKKA_00670_sense	NA	NA	NA	NA	NA	NA	-0.566309658561202	0.0275374517018584	tyrZ	"tyrosyl-tRNA synthetase 2"	PROKKA_00670
PROKKA_00674_sense	NA	NA	NA	NA	-0.554784290496836	0.0283233951908394	-1.64962550440525	2.11759749242822e-05	n/a	"23S ribosomal RNA"	PROKKA_00674
PROKKA_00676_sense	-0.52348404880077	0.0145275512085716	-1.08776261345366	0.00216361025299927	-1.06826192870643	8.20182027541651e-09	-1.83886799797045	4.96455205678715e-13	birA	"BirA bifunctional protein"	PROKKA_00676
PROKKA_00677_sense	NA	NA	NA	NA	NA	NA	-0.862869699320692	0.0108863914376154	n/a	"pantothenate kinase"	PROKKA_00677
PROKKA_00678_sense	NA	NA	NA	NA	NA	NA	-0.96211683716873	0.000520810971824992	n/a	"sporulation domain-containing protein"	PROKKA_00678
PROKKA_00679_sense	NA	NA	NA	NA	NA	NA	-0.935670651912769	0.0042389820635966	n/a	"tRNA-Tyr"	PROKKA_00679
PROKKA_00680_sense	0.719621893345082	0.00237622684521886	NA	NA	NA	NA	-1.03792908333862	0.0110850918292175	n/a	"tRNA-Gly"	PROKKA_00680
PROKKA_00681_sense	NA	NA	NA	NA	-0.622447594609212	0.00136002354673035	-2.4964968795078	5.91083941270746e-10	n/a	"tRNA-Thr"	PROKKA_00681
PROKKA_00682_antis	NA	NA	NA	NA	NA	NA	-2.16940404947292	0.0015509102747769	tufB_1	"elongation factor Tu"	PROKKA_00682
PROKKA_00682_sense	NA	NA	NA	NA	NA	NA	-0.905521452063573	0.00102904130077829	tufB_1	"elongation factor Tu"	PROKKA_00682
PROKKA_00683_antis	NA	NA	NA	NA	NA	NA	-1.92351412261358	0.0402797459662834	n/a	"tRNA-Trp"	PROKKA_00683
