locus	CF39 Log2FoldChange_25vs37	CF39 padj_25vs37	CF39 Log2FoldChange_29vs37	CF39 padj_29vs37	gene	product	locusNumber
PROKKA_00087_sense	0.694028988959163	0.0135070774609368	-0.679420370455895	0.037126890430941	tssA1_1	"TssA1"	PROKKA_00087
PROKKA_00088_sense	NA	NA	-0.702532837036976	0.0099197225592505	tssB1_1	"TssB1"	PROKKA_00088
PROKKA_00089_sense	0.5742538377826	0.0132575010054963	NA	NA	tssC1	"TssC1"	PROKKA_00089
PROKKA_00094_sense	1.45433589662999	0.00140184359980389	NA	NA	tssG1_1	"TssG1"	PROKKA_00094
PROKKA_00096_sense	0.859705889363289	0.0422428163699099	NA	NA	vgrG1_1	"VgrG1"	PROKKA_00096
PROKKA_00098_sense	0.746892329883935	0.00590930955951414	NA	NA	n/a	"PAAR motif-containing protein"	PROKKA_00098
PROKKA_00104_antis	1.35409593414399	0.0199812175168075	NA	NA	n/a	"hypothetical protein"	PROKKA_00104
PROKKA_00104_sense	1.18710757032473	9.52168862178803e-06	NA	NA	n/a	"hypothetical protein"	PROKKA_00104
PROKKA_00133_sense	-0.54700244143246	0.0252678891946649	NA	NA	n/a	"putative alkylphosphonate uptake protein"	PROKKA_00133
PROKKA_00142_antis	1.39460448743337	0.00773802480566185	NA	NA	n/a	"ABC transporter permease"	PROKKA_00142
PROKKA_00166_igbot	1.76591004816388	0.00232918039706281	NA	NA	opdC_1	"histidine porin OpdC"	PROKKA_00166
PROKKA_00169_igtop	-0.456713495049403	0.0281458130755259	NA	NA	n/a	"putative outer membrane protein"	PROKKA_00169
PROKKA_00205_sense	2.1433781382395	2.21106093710486e-06	NA	NA	n/a	"hypothetical protein"	PROKKA_00205
PROKKA_00206_igtop	2.12749179736602	4.22852093349921e-06	NA	NA	n/a	"putative esterase"	PROKKA_00206
PROKKA_00229_sense	1.62577294108055	0.00345286060927452	NA	NA	dapA_1	"dihydrodipicolinate synthase"	PROKKA_00229
PROKKA_00266_antis	0.585498520373137	0.0214161892302247	NA	NA	n/a	"hypothetical protein"	PROKKA_00266
PROKKA_00266_sense	0.868558391559614	0.00242044776555814	NA	NA	n/a	"hypothetical protein"	PROKKA_00266
PROKKA_00270_igbot	-0.763721350279813	0.00195624919829455	NA	NA	n/a	"tRNA-Arg"	PROKKA_00270
PROKKA_00271_sense	-1.11267319291563	0.00026494284040717	-0.873149885734037	0.0261299647582847	gabD_1	"succinate-semialdehyde dehydrogenase"	PROKKA_00271
PROKKA_00273_sense	-1.22428708169489	0.000389569073748635	NA	NA	gabT	"4-aminobutyrate aminotransferase"	PROKKA_00273
PROKKA_00274_igtop	-1.26380044786286	0.0192623255920608	NA	NA	chpA_2	"component of chemotactic signal transduction system"	PROKKA_00274
PROKKA_00284_sense	NA	NA	-0.815317670442104	0.00253606280874514	n/a	"putative putative Zn-dependent protease with chaperone function"	PROKKA_00284
PROKKA_00293_igtop	-1.33774062473257	1.96545481502346e-05	NA	NA	desA_1	"delta-9 fatty acid desaturase DesA"	PROKKA_00293
PROKKA_00293_sense	-0.642914424091546	0.00143994363881671	NA	NA	desA_1	"delta-9 fatty acid desaturase DesA"	PROKKA_00293
PROKKA_00298_igbot	1.21298054115455	0.00148540409510316	0.916567935429959	0.049235699354955	oprE	"Anaerobically-induced outer membrane porin OprE precursor"	PROKKA_00298
PROKKA_00298_igtop	-0.569064561808809	0.0252723678956115	NA	NA	oprE	"Anaerobically-induced outer membrane porin OprE precursor"	PROKKA_00298
PROKKA_00298_sense	-0.989522632125721	2.3825357646189e-09	-0.590823586245643	0.00377091628342771	oprE	"Anaerobically-induced outer membrane porin OprE precursor"	PROKKA_00298
PROKKA_00300_sense	1.24380671397598	0.000887362528065925	NA	NA	aguB_1	"N-carbamoylputrescine amidohydrolase"	PROKKA_00300
PROKKA_00303_sense	-0.483711338797967	0.0420075912159725	NA	NA	spuI	"Glutamylpolyamine synthetase"	PROKKA_00303
PROKKA_00305_sense	-0.557979679755304	0.0414598656002509	NA	NA	spuA	"putative glutamine amidotransferase"	PROKKA_00305
PROKKA_00306_sense	-0.484042173712842	0.0415861650421888	-0.560708303086677	0.036411650121339	spuB	"Glutamylpolyamine synthetase"	PROKKA_00306
PROKKA_00315_sense	-1.17700628122255	2.09998692948308e-07	-0.91441049723354	0.00104245093354574	n/a	"hypothetical protein"	PROKKA_00315
PROKKA_00319_igtop	NA	NA	-1.20947597654067	0.0225617860941672	n/a	"putative proline hydroxylase"	PROKKA_00319
PROKKA_00326_sense	-0.49120308580517	0.00995086050150379	NA	NA	serA_1	"D-3-phosphoglycerate dehydrogenase"	PROKKA_00326
PROKKA_00327_antis	-0.419470218800633	0.0170294309482534	NA	NA	n/a	"P2"	PROKKA_00327
PROKKA_00348_sense	-1.27687115327839	0.0332028307820167	NA	NA	n/a	"putative hydrolase"	PROKKA_00348
PROKKA_00353_sense	-0.718801262283323	0.0126636734773968	NA	NA	n/a	"putative permease"	PROKKA_00353
PROKKA_00354_sense	-0.868855265949498	0.0292014503739962	NA	NA	lgt	"prolipoprotein diacylglyceryl transferase"	PROKKA_00354
PROKKA_00381_sense	1.35959627312041	0.00995086050150379	NA	NA	n/a	"putative acetyltransferase"	PROKKA_00381
PROKKA_00382_igbot	1.1448553855989	0.0268666089810613	NA	NA	n/a	"putative hydrolase"	PROKKA_00382
PROKKA_00385_sense	-0.815395430395372	0.0264284419858941	NA	NA	n/a	"putative peptidase"	PROKKA_00385
PROKKA_00390_igtop	0.853176690075831	0.00019537377704474	0.606766287119465	0.0432669192486462	rpoH	"sigma factor RpoH"	PROKKA_00390
PROKKA_00390_sense	0.525071235916858	0.00275839052306686	0.683903645284691	0.000403391487827306	rpoH	"sigma factor RpoH"	PROKKA_00390
PROKKA_00410_igtop	-0.828873468216408	0.0183518887710162	NA	NA	pilT_1	"twitching motility protein PilT"	PROKKA_00410
PROKKA_00410_sense	-0.720471721746928	0.0250653841879769	NA	NA	pilT_1	"twitching motility protein PilT"	PROKKA_00410
PROKKA_00413_sense	-1.07854769572715	0.0244986397609836	NA	NA	n/a	"TM2 domain-containing protein"	PROKKA_00413
PROKKA_00423_igtop	0.846081365050399	2.73614411538901e-05	NA	NA	pilG_1	"twitching motility protein PilG"	PROKKA_00423
PROKKA_00434_sense	1.3780915143713	0.0077087412568316	NA	NA	n/a	"16S ribosomal RNA methyltransferase RsmE"	PROKKA_00434
PROKKA_00435_sense	0.904247660079631	1.75693739153035e-05	NA	NA	bioA	"adenosylmethionine-8-amino-7-oxononanoate aminotransferase"	PROKKA_00435
PROKKA_00437_sense	-0.410391951122729	0.0468612037405114	NA	NA	n/a	"cytochrome b561"	PROKKA_00437
PROKKA_00438_sense	-0.676784004753055	0.00341970419263652	NA	NA	pasP	"PasP"	PROKKA_00438
PROKKA_00439_antis	NA	NA	0.6796021878966	0.0475107996965632	mexR_1	"multidrug resistance operon repressor MexR"	PROKKA_00439
PROKKA_00440_igtop	-0.937663346937909	3.496656906799e-05	NA	NA	mexA	"Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor"	PROKKA_00440
PROKKA_00440_sense	-0.739622907108085	0.000378027063764984	NA	NA	mexA	"Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor"	PROKKA_00440
PROKKA_00441_sense	-0.846082836104117	2.91316948176997e-07	-0.721148215450216	0.000531567886915963	mexB	"Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB"	PROKKA_00441
PROKKA_00442_sense	-0.758539490656057	0.000221455436567452	NA	NA	oprM_1	"Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor"	PROKKA_00442
PROKKA_00462_sense	0.842894878517802	0.000180365446943797	NA	NA	n/a	"putative long-chain acyl-CoA thioester hydrolase family protein"	PROKKA_00462
PROKKA_00468_sense	-1.00527660070939	0.0298646626850987	NA	NA	dbpA_1	"RNA helicase DbpA"	PROKKA_00468
PROKKA_00469_antis	-2.29167926042232	1.05287701312233e-08	-1.1152400841236	0.0265978536402263	n/a	"cspA"	PROKKA_00469
PROKKA_00469_sense	-0.824729636397655	0.000425699265177825	NA	NA	n/a	"cspA"	PROKKA_00469
PROKKA_00470_antis	-1.79136683011081	0.0490313801205712	NA	NA	capB_1	"cold acclimation protein B"	PROKKA_00470
PROKKA_00470_sense	-1.12478170298357	5.19737784039753e-08	-0.784034379705769	0.0019937029175282	capB_1	"cold acclimation protein B"	PROKKA_00470
PROKKA_00486_sense	2.22211742443323	0.000106939755859031	1.60342809563153	0.0139149749112891	fiuA_2	"Ferrichrome receptor FiuA"	PROKKA_00486
PROKKA_00488_sense	2.51423163223729	0.00333130209223004	NA	NA	fiuI_1	"FiuI"	PROKKA_00488
PROKKA_00498_sense	-0.875366100381842	2.12162512600944e-06	-0.64712334471909	0.00506181926129053	glcB	"malate synthase G"	PROKKA_00498
PROKKA_00499_igbot	-0.849936518930087	0.00186994599547092	NA	NA	n/a	"putative acetyltransferase"	PROKKA_00499
PROKKA_00501_igtop	1.62177268588925	1.7716327058711e-06	1.05205438473691	0.0107685755086782	n/a	"putative permease"	PROKKA_00501
PROKKA_00514_antis	1.06858506797301	0.00498505369914007	NA	NA	cupB2_1	"chaperone CupB2"	PROKKA_00514
PROKKA_00535_igtop	1.52084699311313	0.0468989352673891	NA	NA	nirQ_1	"regulatory protein NirQ"	PROKKA_00535
PROKKA_00543_igtop	0.753319400091888	0.00240715921557288	NA	NA	n/a	"RsmY"	PROKKA_00543
PROKKA_00544_sense	-1.64844856277972	0.00785450673130034	NA	NA	cynR_2	"transcriptional regulator CynR"	PROKKA_00544
PROKKA_00572_sense	NA	NA	-0.562817533024115	0.00918959263797241	fda	"fructose-1-6-bisphosphate aldolase"	PROKKA_00572
PROKKA_00577_sense	-0.879022201424746	1.09235239630428e-05	-0.554615794760019	0.0429578846152132	n/a	"putative metal-dependent hydrolase"	PROKKA_00577
PROKKA_00595_igbot	0.700242924196278	0.0173455436250351	NA	NA	dnaG	"DNA primase"	PROKKA_00595
PROKKA_00595_sense	0.621769384289061	0.0112491884395563	NA	NA	dnaG	"DNA primase"	PROKKA_00595
PROKKA_00597_sense	-0.534766939462682	0.00186740972564169	NA	NA	rpsU	"30S ribosomal protein S21"	PROKKA_00597
PROKKA_00614_igtop	0.624819570789542	0.00463875345056922	NA	NA	n/a	"putative phosphotransferase"	PROKKA_00614
PROKKA_00625_sense	-1.13900991431933	0.000197818589756826	NA	NA	rpe	"ribulose-phosphate 3-epimerase"	PROKKA_00625
PROKKA_00626_sense	-0.569925483832467	0.0388684568726569	NA	NA	n/a	"phosphoglycolate phosphatase"	PROKKA_00626
PROKKA_00628_sense	1.28941857316319	1.84033676143021e-09	0.982469392815425	0.000230469732396789	prtN	"transcriptional regulator PrtN"	PROKKA_00628
PROKKA_00629_sense	0.724432738112398	0.00410258817213355	NA	NA	prtR_1	"transcriptional regulator PrtR"	PROKKA_00629
PROKKA_00633_sense	-0.879936961075017	0.0227997357339006	NA	NA	n/a	"putative holin"	PROKKA_00633
PROKKA_00634_sense	-0.761247035280071	0.0252678891946649	-0.783859145849522	0.0114838984482192	n/a	"phage protein"	PROKKA_00634
PROKKA_00635_sense	-1.56769785024198	6.82805736711658e-06	-1.30909196456908	3.08435359301735e-05	n/a	"putative baseplate assembly protein V"	PROKKA_00635
PROKKA_00636_igtop	-1.38639476699752	0.00390466029800089	NA	NA	n/a	"putative bacteriophage protein"	PROKKA_00636
PROKKA_00636_sense	-1.60105296264572	4.00912585825876e-08	-1.21842444184185	0.00113105609442257	n/a	"putative bacteriophage protein"	PROKKA_00636
PROKKA_00637_sense	-1.41604677461275	2.08647654050127e-06	-1.3893328051463	1.43802165878498e-06	n/a	"putative bacteriophage protein"	PROKKA_00637
PROKKA_00638_sense	-1.13996004740183	0.000669522050360736	-0.969854777675523	0.0128956893082202	n/a	"putative bacteriophage protein"	PROKKA_00638
PROKKA_00639_sense	-1.25893166798725	2.26844574619537e-08	-0.98487010913447	0.000230469732396789	n/a	"putative bacteriophage protein"	PROKKA_00639
PROKKA_00640_sense	-1.49978537008283	1.74938700102767e-09	-1.1785543890534	3.55780756499387e-06	n/a	"prophage tail fimber assembly protein"	PROKKA_00640
PROKKA_00641_sense	-0.82215285968425	0.00725535538464279	-0.713577399431477	0.0317335298450031	n/a	"putative bacteriophage protein"	PROKKA_00641
PROKKA_00642_sense	-0.895605391330392	0.00447262665572562	-0.787612584199151	0.0149495509017831	n/a	"putative bacteriophage protein"	PROKKA_00642
PROKKA_00644_antis	-2.16958217470205	0.0493772430332259	NA	NA	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00644_igtop	-1.07234537598886	0.0011999866890613	-1.37339572357313	3.32866371426646e-07	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00644_sense	-0.955516905163675	0.000271335831153833	-1.40854536963899	5.05926878459716e-09	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00645_sense	-0.848033213710242	0.0186188384863583	-1.20749141750254	0.00173139540349547	n/a	"putative tail formation protein"	PROKKA_00645
PROKKA_00647_sense	NA	NA	-0.987343601708915	0.000779707285771435	n/a	"putative phage late control gene D protein"	PROKKA_00647
PROKKA_00648_igtop	NA	NA	-1.50695462288276	0.00477394337500774	n/a	"putative lytic enzyme"	PROKKA_00648
PROKKA_00648_sense	NA	NA	-1.66559004545913	0.0133344403267721	n/a	"putative lytic enzyme"	PROKKA_00648
PROKKA_00651_igtop	-0.638784419131652	0.0212971125949264	NA	NA	trpG	"anthranilate synthase component II"	PROKKA_00651
PROKKA_00654_sense	-0.411397289419517	0.0250653841879769	-0.490056306438812	0.015416020069947	vfr_2	"transcriptional regulator Vfr"	PROKKA_00654
PROKKA_00655_sense	-0.979671465581574	0.00392413152075395	NA	NA	n/a	"putative redox protein"	PROKKA_00655
PROKKA_00656_antis	-1.22713100585106	0.0347675052139273	NA	NA	speD	"S-adenosylmethionine decarboxylase proenzyme"	PROKKA_00656
PROKKA_00656_igtop	-0.439630567451198	0.0127411294551497	NA	NA	speD	"S-adenosylmethionine decarboxylase proenzyme"	PROKKA_00656
PROKKA_00664_igtop	NA	NA	1.39717551963379	0.0208889992502969	argC	"N-acetyl-gamma-glutamyl-phosphate reductase"	PROKKA_00664
PROKKA_00666_sense	0.766374093940286	6.56723739395138e-05	NA	NA	n/a	"putative integral membrane protein"	PROKKA_00666
PROKKA_00669_sense	0.430249365469918	0.0148702418353775	NA	NA	n/a	"putative metallopeptidase"	PROKKA_00669
PROKKA_00674_sense	-0.554784290496836	0.0283233951908394	NA	NA	n/a	"23S ribosomal RNA"	PROKKA_00674
PROKKA_00676_igtop	-0.753930423378697	0.00215716280414182	-0.607061212704124	0.0221506905585114	birA	"BirA bifunctional protein"	PROKKA_00676
PROKKA_00676_sense	-1.06826192870643	8.20182027541651e-09	-0.55517136112851	0.0446153369889047	birA	"BirA bifunctional protein"	PROKKA_00676
PROKKA_00680_sense	NA	NA	-0.739791049236248	0.015399687449198	n/a	"tRNA-Gly"	PROKKA_00680
PROKKA_00681_igbot	NA	NA	-2.83184290458648	0.00564822005000815	n/a	"tRNA-Thr"	PROKKA_00681
PROKKA_00681_igtop	NA	NA	-0.739107281953316	0.0168608325713546	n/a	"tRNA-Thr"	PROKKA_00681
PROKKA_00681_sense	-0.622447594609212	0.00136002354673035	NA	NA	n/a	"tRNA-Thr"	PROKKA_00681
PROKKA_00683_sense	NA	NA	0.855014989158676	0.000716976908466831	n/a	"tRNA-Trp"	PROKKA_00683
PROKKA_00684_sense	-0.999322907335697	7.55686642560149e-05	-0.936927657435591	0.00232781130896226	n/a	"hypothetical protein"	PROKKA_00684
PROKKA_00685_antis	-1.01181898638209	0.0219079580793805	-1.33553040193645	0.0177646796774101	nusG	"transcription antitermination protein NusG"	PROKKA_00685
PROKKA_00685_igtop	-0.507477883501156	0.00681291621604317	NA	NA	nusG	"transcription antitermination protein NusG"	PROKKA_00685
PROKKA_00687_sense	-0.404906259545272	0.0281561816709523	NA	NA	rplA	"50S ribosomal protein L1"	PROKKA_00687
PROKKA_00688_sense	-1.42356083410101	0.0470221209472601	NA	NA	n/a	"P27"	PROKKA_00688
PROKKA_00689_antis	-1.70382188488926	0.000595755310035719	NA	NA	rplJ	"50S ribosomal protein L10"	PROKKA_00689
PROKKA_00689_sense	-0.358636111180524	0.0331701688726065	NA	NA	rplJ	"50S ribosomal protein L10"	PROKKA_00689
PROKKA_00690_antis	-1.6603977547594	0.0318436974018955	NA	NA	rplL	"50S ribosomal protein L7 / L12"	PROKKA_00690
PROKKA_00690_igtop	NA	NA	-0.814535331316098	2.67637982519638e-05	rplL	"50S ribosomal protein L7 / L12"	PROKKA_00690
PROKKA_00690_sense	-0.521436640198601	0.00305170696052186	NA	NA	rplL	"50S ribosomal protein L7 / L12"	PROKKA_00690
PROKKA_00691_sense	-0.83139633531178	0.0217185454056251	NA	NA	n/a	"P26"	PROKKA_00691
PROKKA_00692_antis	-0.954765126893522	0.0303760395106828	NA	NA	rpoB	"DNA-directed RNA polymerase beta chain"	PROKKA_00692
PROKKA_00692_sense	NA	NA	-0.459363108560374	0.0300622385110292	rpoB	"DNA-directed RNA polymerase beta chain"	PROKKA_00692
PROKKA_00693_igtop	-0.612642772613992	0.0200289753890854	NA	NA	rpoC	"DNA-directed RNA polymerase beta* chain"	PROKKA_00693
PROKKA_00693_sense	NA	NA	-0.484515455249952	0.019227545466783	rpoC	"DNA-directed RNA polymerase beta* chain"	PROKKA_00693
PROKKA_00694_igtop	-0.632955725777889	0.0373829083528611	NA	NA	n/a	"rpsL_psuedo"	PROKKA_00694
PROKKA_00695_antis	-0.881217487359444	0.0284898495175715	-1.11683923694618	0.018309909152125	rpsL	"30S ribosomal protein S12"	PROKKA_00695
PROKKA_00696_igbot	-1.44358413366684	0.0294955235909418	NA	NA	rpsG	"30S ribosomal protein S7"	PROKKA_00696
PROKKA_00696_sense	-0.583646889629208	0.000596552758468162	NA	NA	rpsG	"30S ribosomal protein S7"	PROKKA_00696
PROKKA_00697_antis	-1.48629643758219	8.67866921993987e-09	-1.34045842469257	0.000983436719099335	fusA1	"elongation factor G"	PROKKA_00697
PROKKA_00697_igtop	-0.91514309708349	1.44884706118534e-05	NA	NA	fusA1	"elongation factor G"	PROKKA_00697
PROKKA_00697_sense	-0.391256417043467	0.0254028226149823	-0.446344423819989	0.0452571172117741	fusA1	"elongation factor G"	PROKKA_00697
PROKKA_00699_sense	NA	NA	0.478910269016791	0.0246323699816994	rpsJ	"30S ribosomal protein S10"	PROKKA_00699
PROKKA_00700_antis	-1.40262355628285	2.67053826248934e-06	NA	NA	rplC	"50S ribosomal protein L3"	PROKKA_00700
PROKKA_00700_igtop	-0.458615299669132	0.0109413785329326	NA	NA	rplC	"50S ribosomal protein L3"	PROKKA_00700
PROKKA_00700_sense	-0.424824196417836	0.0171650204501707	NA	NA	rplC	"50S ribosomal protein L3"	PROKKA_00700
PROKKA_00701_antis	-1.32822300253745	0.000231205987188033	NA	NA	rplD	"50S ribosomal protein L4"	PROKKA_00701
PROKKA_00701_igtop	-0.76458029288021	0.0351449211991281	NA	NA	rplD	"50S ribosomal protein L4"	PROKKA_00701
PROKKA_00701_sense	-0.420028563798669	0.0155699451267748	-0.443364203061734	0.0452819107163782	rplD	"50S ribosomal protein L4"	PROKKA_00701
PROKKA_00702_sense	-0.610699609173458	0.000816266983559796	NA	NA	rplW	"50S ribosomal protein L23"	PROKKA_00702
PROKKA_00703_antis	-1.76402494302616	0.00602849296020644	NA	NA	rplB	"50S ribosomal protein L2"	PROKKA_00703
PROKKA_00703_igtop	-0.796908082198665	0.00206042008948608	NA	NA	rplB	"50S ribosomal protein L2"	PROKKA_00703
PROKKA_00703_sense	-0.492584895520469	0.00456454407982913	NA	NA	rplB	"50S ribosomal protein L2"	PROKKA_00703
PROKKA_00704_antis	-1.13747492812454	0.000145561645826236	NA	NA	rpsS	"30S ribosomal protein S19"	PROKKA_00704
PROKKA_00704_igtop	-0.520571875269849	0.0253593370906359	NA	NA	rpsS	"30S ribosomal protein S19"	PROKKA_00704
PROKKA_00704_sense	NA	NA	-0.651127461177199	0.00105293556277436	rpsS	"30S ribosomal protein S19"	PROKKA_00704
PROKKA_00705_antis	-1.52518944851026	0.000571342249919597	-1.41502009145312	0.00844727854822807	rplV	"50S ribosomal protein L22"	PROKKA_00705
PROKKA_00705_igtop	NA	NA	-0.954672768107837	1.12725274008739e-05	rplV	"50S ribosomal protein L22"	PROKKA_00705
PROKKA_00705_sense	NA	NA	-0.62077275527849	0.00359720962940234	rplV	"50S ribosomal protein L22"	PROKKA_00705
PROKKA_00706_antis	-1.60712465431298	0.000351833909856307	NA	NA	rpsC	"30S ribosomal protein S3"	PROKKA_00706
PROKKA_00706_sense	-0.491747597216127	0.01060231735037	NA	NA	rpsC	"30S ribosomal protein S3"	PROKKA_00706
PROKKA_00707_antis	-1.43682367723391	0.0214696452459455	NA	NA	rplP	"50S ribosomal protein L16"	PROKKA_00707
PROKKA_00707_igtop	-0.714922227272092	0.0301164654709589	NA	NA	rplP	"50S ribosomal protein L16"	PROKKA_00707
PROKKA_00707_sense	-0.775932952536464	5.92965048133486e-05	NA	NA	rplP	"50S ribosomal protein L16"	PROKKA_00707
PROKKA_00708_sense	-0.790494020301397	6.9662819359359e-05	NA	NA	rpmC	"50S ribosomal protein L29"	PROKKA_00708
PROKKA_00709_antis	-1.02223467233791	0.0007561780023246	NA	NA	rpsQ	"30S ribosomal protein S17"	PROKKA_00709
PROKKA_00709_sense	-0.419214463735706	0.0166751433896474	NA	NA	rpsQ	"30S ribosomal protein S17"	PROKKA_00709
PROKKA_00710_antis	-1.5914319530471	0.00262769505998379	NA	NA	rplN	"50S ribosomal protein L14"	PROKKA_00710
PROKKA_00710_igtop	-0.439606307064866	0.0343596476338187	-0.512526801243378	0.0280749212442881	rplN	"50S ribosomal protein L14"	PROKKA_00710
PROKKA_00710_sense	-0.608484267267851	0.00052236182189645	-0.484633369886342	0.0281924064219373	rplN	"50S ribosomal protein L14"	PROKKA_00710
PROKKA_00711_antis	-1.16007521090451	0.0104237644348969	NA	NA	rplX	"50S ribosomal protein L24"	PROKKA_00711
PROKKA_00711_igtop	NA	NA	-0.894737421088165	0.00142547554352695	rplX	"50S ribosomal protein L24"	PROKKA_00711
PROKKA_00711_sense	NA	NA	-0.574139905648202	0.00259441121085367	rplX	"50S ribosomal protein L24"	PROKKA_00711
PROKKA_00712_antis	-1.51106762796892	0.00143366466261794	NA	NA	rplE	"50S ribosomal protein L5"	PROKKA_00712
PROKKA_00712_igtop	-0.643862811021854	0.0011999866890613	-0.927342615867783	3.83910852119235e-05	rplE	"50S ribosomal protein L5"	PROKKA_00712
PROKKA_00712_sense	-0.429961731589383	0.0182831564799507	NA	NA	rplE	"50S ribosomal protein L5"	PROKKA_00712
PROKKA_00713_antis	NA	NA	-2.44540967199127	0.023735373441551	rpsN	"30S ribosomal protein S14"	PROKKA_00713
PROKKA_00713_igtop	NA	NA	-0.862754759093509	0.00110003977495763	rpsN	"30S ribosomal protein S14"	PROKKA_00713
PROKKA_00713_sense	-0.617891794555371	0.0133057457456262	NA	NA	rpsN	"30S ribosomal protein S14"	PROKKA_00713
PROKKA_00714_antis	NA	NA	-1.15386813480323	0.029356255036789	rpsH	"30S ribosomal protein S8"	PROKKA_00714
PROKKA_00714_sense	-0.652826407065419	0.00223118718267807	NA	NA	rpsH	"30S ribosomal protein S8"	PROKKA_00714
PROKKA_00715_antis	-2.18157353307767	0.000450293232767918	-1.71134258228078	0.0186772515334215	rplF	"50S ribosomal protein L6"	PROKKA_00715
PROKKA_00715_sense	-0.636080679702766	0.000667810976523444	NA	NA	rplF	"50S ribosomal protein L6"	PROKKA_00715
PROKKA_00716_igtop	-0.762982710279616	0.000447065014730974	-0.661379789707056	0.014137263813784	rplR	"50S ribosomal protein L18"	PROKKA_00716
PROKKA_00716_sense	-0.687891753044769	2.91465005556378e-05	NA	NA	rplR	"50S ribosomal protein L18"	PROKKA_00716
PROKKA_00717_antis	-1.47612912867072	0.00251379541297066	NA	NA	rpsE	"30S ribosomal protein S5"	PROKKA_00717
PROKKA_00717_sense	-0.670721857252989	0.00033686535961995	NA	NA	rpsE	"30S ribosomal protein S5"	PROKKA_00717
PROKKA_00718_sense	-0.883418992824202	3.61230239561012e-06	NA	NA	rpmD	"50S ribosomal protein L30"	PROKKA_00718
PROKKA_00719_antis	-3.91147012238655	0.00113539006682902	NA	NA	rplO	"50S ribosomal protein L15"	PROKKA_00719
PROKKA_00719_sense	-0.587304469618994	0.00038292399485201	-0.545662701575967	0.0148957383793089	rplO	"50S ribosomal protein L15"	PROKKA_00719
PROKKA_00720_antis	-1.32890000862088	0.000276976640763683	-1.30243597621689	0.00282795816035734	secY	"secretion protein SecY"	PROKKA_00720
PROKKA_00720_sense	-0.350025730867515	0.0347675052139273	NA	NA	secY	"secretion protein SecY"	PROKKA_00720
PROKKA_00721_igtop	NA	NA	-0.558943712874994	0.0460668453661454	rpmJ_1	"50S ribosomal protein L36"	PROKKA_00721
PROKKA_00722_antis	-1.47247684009213	0.00108073528750485	-1.25100048751578	0.0401328987118702	rpsM	"30S ribosomal protein S13"	PROKKA_00722
PROKKA_00722_sense	NA	NA	-0.453729649987227	0.0254868236856018	rpsM	"30S ribosomal protein S13"	PROKKA_00722
PROKKA_00723_igtop	NA	NA	-0.574765875675912	0.0133591340293008	rpsK	"30S ribosomal protein S11"	PROKKA_00723
