locus	baseMean	log2FoldChange_41C	lfcSE	stat	pvalue_41C	padj_Temp	gene_name	gene_discription	raw_locus
PROKKA_00315_sense	-1.02474220115013	0.00100357499762511	0.0243998245229651	-1.17700628122255	4.98728738152542e-09	2.09998692948308e-07	n/a	"hypothetical protein"	PROKKA_00315
PROKKA_00326_sense	NA	NA	NA	-0.49120308580517	0.0011026993957994	0.00995086050150379	serA_1	"D-3-phosphoglycerate dehydrogenase"	PROKKA_00326
PROKKA_00327_antis	NA	NA	NA	-0.419470218800633	0.00213996768890895	0.0170294309482534	n/a	"P2"	PROKKA_00327
PROKKA_00348_sense	NA	NA	NA	-1.27687115327839	0.00502214825755198	0.0332028307820167	n/a	"putative hydrolase"	PROKKA_00348
PROKKA_00353_sense	NA	NA	NA	-0.718801262283323	0.00148185711085517	0.0126636734773968	n/a	"putative permease"	PROKKA_00353
PROKKA_00354_sense	NA	NA	NA	-0.868855265949498	0.00424521892109859	0.0292014503739962	lgt	"prolipoprotein diacylglyceryl transferase"	PROKKA_00354
PROKKA_00380_antis	1.60818909293579	0.000451777268395635	0.0134527198746959	NA	NA	NA	n/a	"putative transcriptional regulator"	PROKKA_00380
PROKKA_00381_sense	NA	NA	NA	1.35959627312041	0.00110366692333972	0.00995086050150379	n/a	"putative acetyltransferase"	PROKKA_00381
PROKKA_00382_igbot	NA	NA	NA	1.1448553855989	0.00381906028056821	0.0268666089810613	n/a	"putative hydrolase"	PROKKA_00382
PROKKA_00385_sense	NA	NA	NA	-0.815395430395372	0.00373544729936664	0.0264284419858941	n/a	"putative peptidase"	PROKKA_00385
PROKKA_00390_igtop	NA	NA	NA	0.853176690075831	1.10142698841224e-05	0.00019537377704474	rpoH	"sigma factor RpoH"	PROKKA_00390
PROKKA_00390_sense	NA	NA	NA	0.525071235916858	0.000240095093949214	0.00275839052306686	rpoH	"sigma factor RpoH"	PROKKA_00390
PROKKA_00410_igtop	NA	NA	NA	-0.828873468216408	0.00235058201805383	0.0183518887710162	pilT_1	"twitching motility protein PilT"	PROKKA_00410
PROKKA_00410_sense	NA	NA	NA	-0.720471721746928	0.00345686726666633	0.0250653841879769	pilT_1	"twitching motility protein PilT"	PROKKA_00410
PROKKA_00413_sense	NA	NA	NA	-1.07854769572715	0.00336100776061453	0.0244986397609836	n/a	"TM2 domain-containing protein"	PROKKA_00413
PROKKA_00423_igtop	1.35969186144352	0.001951242119643	0.0393188651780117	0.846081365050399	1.16398106822521e-06	2.73614411538901e-05	pilG_1	"twitching motility protein PilG"	PROKKA_00423
PROKKA_00434_sense	NA	NA	NA	1.3780915143713	0.00081139967344792	0.0077087412568316	n/a	"16S ribosomal RNA methyltransferase RsmE"	PROKKA_00434
PROKKA_00435_sense	NA	NA	NA	0.904247660079631	7.10958063669762e-07	1.75693739153035e-05	bioA	"adenosylmethionine-8-amino-7-oxononanoate aminotransferase"	PROKKA_00435
PROKKA_00437_sense	NA	NA	NA	-0.410391951122729	0.00784603590443974	0.0468612037405114	n/a	"cytochrome b561"	PROKKA_00437
PROKKA_00438_sense	NA	NA	NA	-0.676784004753055	0.000307513173882463	0.00341970419263652	pasP	"PasP"	PROKKA_00438
PROKKA_00440_igtop	NA	NA	NA	-0.937663346937909	1.57216531433204e-06	3.496656906799e-05	mexA	"Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor"	PROKKA_00440
PROKKA_00440_sense	-1.00798158026122	0.000556715150318498	0.0159946872288772	-0.739622907108085	2.34904988897079e-05	0.000378027063764984	mexA	"Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor"	PROKKA_00440
PROKKA_00441_sense	-0.936446919858732	0.00198315596050257	0.0395287590501257	-0.846082836104117	7.22079131404822e-09	2.91316948176997e-07	mexB	"Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB"	PROKKA_00441
PROKKA_00442_sense	-0.932763349260277	0.00157460355713889	0.0336663057056876	-0.758539490656057	1.27654736319721e-05	0.000221455436567452	oprM_1	"Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor"	PROKKA_00442
PROKKA_00462_sense	NA	NA	NA	0.842894878517802	1.00642006364765e-05	0.000180365446943797	n/a	"putative long-chain acyl-CoA thioester hydrolase family protein"	PROKKA_00462
PROKKA_00468_sense	-1.44388700402037	0.00112681344617688	0.0262269395463005	-1.00527660070939	0.00435884977626642	0.0298646626850987	dbpA_1	"RNA helicase DbpA"	PROKKA_00468
PROKKA_00469_antis	NA	NA	NA	-2.29167926042232	2.11206594746698e-10	1.05287701312233e-08	n/a	"cspA"	PROKKA_00469
PROKKA_00469_sense	-0.916016770792943	0.0012938392759849	0.0294618819655386	-0.824729636397655	2.70091431628484e-05	0.000425699265177825	n/a	"cspA"	PROKKA_00469
PROKKA_00470_antis	NA	NA	NA	-1.79136683011081	0.00836031948332081	0.0490313801205712	capB_1	"cold acclimation protein B"	PROKKA_00470
PROKKA_00470_sense	-1.03136265339942	0.000582749700334973	0.016421931210589	-1.12478170298357	1.12048611500385e-09	5.19737784039753e-08	capB_1	"cold acclimation protein B"	PROKKA_00470
PROKKA_00486_sense	2.16727821526641	0.000338759489352007	0.0110736713074845	2.22211742443323	5.49863167087015e-06	0.000106939755859031	fiuA_2	"Ferrichrome receptor FiuA"	PROKKA_00486
PROKKA_00488_sense	NA	NA	NA	2.51423163223729	0.000296875319033182	0.00333130209223004	fiuI_1	"FiuI"	PROKKA_00488
PROKKA_00498_sense	-1.15522764657659	2.3605027668575e-05	0.00140012079437394	-0.875366100381842	6.5307114208499e-08	2.12162512600944e-06	glcB	"malate synthase G"	PROKKA_00498
PROKKA_00499_igbot	-1.35465435331337	3.4093546746912e-06	0.000295009454498279	-0.849936518930087	0.000151768731935846	0.00186994599547092	n/a	"putative acetyltransferase"	PROKKA_00499
PROKKA_00501_igtop	1.75370569784831	1.53681465211607e-05	0.000949854770278462	1.62177268588925	5.28998006479842e-08	1.7716327058711e-06	n/a	"putative permease"	PROKKA_00501
PROKKA_00514_antis	NA	NA	NA	1.06858506797301	0.000479884694348854	0.00498505369914007	cupB2_1	"chaperone CupB2"	PROKKA_00514
PROKKA_00535_igtop	NA	NA	NA	1.52084699311313	0.00788317357849358	0.0468989352673891	nirQ_1	"regulatory protein NirQ"	PROKKA_00535
PROKKA_00543_igtop	NA	NA	NA	0.753319400091888	0.000204304519493635	0.00240715921557288	n/a	"RsmY"	PROKKA_00543
PROKKA_00544_sense	NA	NA	NA	-1.64844856277972	0.000833986707346969	0.00785450673130034	cynR_2	"transcriptional regulator CynR"	PROKKA_00544
PROKKA_00577_sense	-1.2291446050056	7.6692722926053e-05	0.00354764136554163	-0.879022201424746	4.11804511864769e-07	1.09235239630428e-05	n/a	"putative metal-dependent hydrolase"	PROKKA_00577
PROKKA_00588_sense	-2.01527256609138	0.00213809605360906	0.0410693995292185	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00588
PROKKA_00590_igtop	1.57484144381164	0.000956289532143662	0.0237287327327807	NA	NA	NA	n/a	"NERD domain-containing protein"	PROKKA_00590
PROKKA_00595_igbot	NA	NA	NA	0.700242924196278	0.00218769019204386	0.0173455436250351	dnaG	"DNA primase"	PROKKA_00595
PROKKA_00595_sense	NA	NA	NA	0.621769384289061	0.00128821846094573	0.0112491884395563	dnaG	"DNA primase"	PROKKA_00595
PROKKA_00597_sense	NA	NA	NA	-0.534766939462682	0.000151347594780506	0.00186740972564169	rpsU	"30S ribosomal protein S21"	PROKKA_00597
PROKKA_00614_igtop	NA	NA	NA	0.624819570789542	0.000439595957616775	0.00463875345056922	n/a	"putative phosphotransferase"	PROKKA_00614
PROKKA_00625_sense	NA	NA	NA	-1.13900991431933	1.11790912362765e-05	0.000197818589756826	rpe	"ribulose-phosphate 3-epimerase"	PROKKA_00625
PROKKA_00626_sense	NA	NA	NA	-0.569925483832467	0.00614349254927514	0.0388684568726569	n/a	"phosphoglycolate phosphatase"	PROKKA_00626
PROKKA_00628_sense	1.00202714156836	0.00151861314143082	0.0329480815788308	1.28941857316319	3.14007194710251e-11	1.84033676143021e-09	prtN	"transcriptional regulator PrtN"	PROKKA_00628
PROKKA_00629_sense	NA	NA	NA	0.724432738112398	0.000381691106169215	0.00410258817213355	prtR_1	"transcriptional regulator PrtR"	PROKKA_00629
PROKKA_00633_sense	NA	NA	NA	-0.879936961075017	0.00308650485891701	0.0227997357339006	n/a	"putative holin"	PROKKA_00633
PROKKA_00634_sense	NA	NA	NA	-0.761247035280071	0.00350441211680677	0.0252678891946649	n/a	"phage protein"	PROKKA_00634
PROKKA_00635_sense	NA	NA	NA	-1.56769785024198	2.43117791684632e-07	6.82805736711658e-06	n/a	"putative baseplate assembly protein V"	PROKKA_00635
PROKKA_00636_igtop	NA	NA	NA	-1.38639476699752	0.000359225146161484	0.00390466029800089	n/a	"putative bacteriophage protein"	PROKKA_00636
PROKKA_00636_sense	NA	NA	NA	-1.60105296264572	8.41204641691371e-10	4.00912585825876e-08	n/a	"putative bacteriophage protein"	PROKKA_00636
PROKKA_00637_sense	NA	NA	NA	-1.41604677461275	6.3984639125356e-08	2.08647654050127e-06	n/a	"putative bacteriophage protein"	PROKKA_00637
PROKKA_00638_sense	NA	NA	NA	-1.13996004740183	4.64667136634959e-05	0.000669522050360736	n/a	"putative bacteriophage protein"	PROKKA_00638
PROKKA_00639_sense	NA	NA	NA	-1.25893166798725	4.65509964056693e-10	2.26844574619537e-08	n/a	"putative bacteriophage protein"	PROKKA_00639
PROKKA_00640_sense	NA	NA	NA	-1.49978537008283	2.96472088022905e-11	1.74938700102767e-09	n/a	"prophage tail fimber assembly protein"	PROKKA_00640
PROKKA_00641_sense	NA	NA	NA	-0.82215285968425	0.000752803763682097	0.00725535538464279	n/a	"putative bacteriophage protein"	PROKKA_00641
PROKKA_00642_sense	NA	NA	NA	-0.895605391330392	0.000420758975221594	0.00447262665572562	n/a	"putative bacteriophage protein"	PROKKA_00642
PROKKA_00644_antis	NA	NA	NA	-2.16958217470205	0.00843067753426419	0.0493772430332259	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00644_igtop	NA	NA	NA	-1.07234537598886	9.17162958923156e-05	0.0011999866890613	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00644_sense	NA	NA	NA	-0.955516905163675	1.61412599579638e-05	0.000271335831153833	n/a	"putative tail length determinator protein"	PROKKA_00644
PROKKA_00645_sense	NA	NA	NA	-0.848033213710242	0.00239765305386929	0.0186188384863583	n/a	"putative tail formation protein"	PROKKA_00645
PROKKA_00651_igtop	NA	NA	NA	-0.638784419131652	0.00281866327634027	0.0212971125949264	trpG	"anthranilate synthase component II"	PROKKA_00651
PROKKA_00654_sense	NA	NA	NA	-0.411397289419517	0.00346187805593686	0.0250653841879769	vfr_2	"transcriptional regulator Vfr"	PROKKA_00654
PROKKA_00655_sense	-1.21166597450046	0.00100940020530159	0.0243998245229651	-0.979671465581574	0.000361468882301407	0.00392413152075395	n/a	"putative redox protein"	PROKKA_00655
PROKKA_00656_antis	NA	NA	NA	-1.22713100585106	0.00534278650499217	0.0347675052139273	speD	"S-adenosylmethionine decarboxylase proenzyme"	PROKKA_00656
PROKKA_00656_igtop	-0.936954138453269	0.00157327150898416	0.0336663057056876	-0.439630567451198	0.00150238402123889	0.0127411294551497	speD	"S-adenosylmethionine decarboxylase proenzyme"	PROKKA_00656
PROKKA_00666_sense	NA	NA	NA	0.766374093940286	3.19503594679212e-06	6.56723739395138e-05	n/a	"putative integral membrane protein"	PROKKA_00666
PROKKA_00669_sense	NA	NA	NA	0.430249365469918	0.00181377863290632	0.0148702418353775	n/a	"putative metallopeptidase"	PROKKA_00669
PROKKA_00674_sense	NA	NA	NA	-0.554784290496836	0.00407838604949948	0.0283233951908394	n/a	"23S ribosomal RNA"	PROKKA_00674
PROKKA_00676_igtop	NA	NA	NA	-0.753930423378697	0.000179058936935913	0.00215716280414182	birA	"BirA bifunctional protein"	PROKKA_00676
PROKKA_00676_sense	NA	NA	NA	-1.06826192870643	1.560180246073e-10	8.20182027541651e-09	birA	"BirA bifunctional protein"	PROKKA_00676
PROKKA_00681_sense	NA	NA	NA	-0.622447594609212	0.000105835357856005	0.00136002354673035	n/a	"tRNA-Thr"	PROKKA_00681
PROKKA_00684_sense	NA	NA	NA	-0.999322907335697	3.7549105711716e-06	7.55686642560149e-05	n/a	"hypothetical protein"	PROKKA_00684
PROKKA_00685_antis	NA	NA	NA	-1.01181898638209	0.00292981685175022	0.0219079580793805	nusG	"transcription antitermination protein NusG"	PROKKA_00685
PROKKA_00685_igtop	NA	NA	NA	-0.507477883501156	0.000700613472989452	0.00681291621604317	nusG	"transcription antitermination protein NusG"	PROKKA_00685
PROKKA_00687_sense	NA	NA	NA	-0.404906259545272	0.0040478162950977	0.0281561816709523	rplA	"50S ribosomal protein L1"	PROKKA_00687
PROKKA_00688_sense	NA	NA	NA	-1.42356083410101	0.00791472176423793	0.0470221209472601	n/a	"P27"	PROKKA_00688
PROKKA_00689_antis	NA	NA	NA	-1.70382188488926	4.05915826874695e-05	0.000595755310035719	rplJ	"50S ribosomal protein L10"	PROKKA_00689
PROKKA_00689_sense	NA	NA	NA	-0.358636111180524	0.00501338383582973	0.0331701688726065	rplJ	"50S ribosomal protein L10"	PROKKA_00689
PROKKA_00690_antis	NA	NA	NA	-1.6603977547594	0.00474681816239923	0.0318436974018955	rplL	"50S ribosomal protein L7 / L12"	PROKKA_00690
PROKKA_00690_sense	NA	NA	NA	-0.521436640198601	0.000269144088632605	0.00305170696052186	rplL	"50S ribosomal protein L7 / L12"	PROKKA_00690
PROKKA_00691_sense	NA	NA	NA	-0.83139633531178	0.00289447065816263	0.0217185454056251	n/a	"P26"	PROKKA_00691
PROKKA_00692_antis	NA	NA	NA	-0.954765126893522	0.00447200858371477	0.0303760395106828	rpoB	"DNA-directed RNA polymerase beta chain"	PROKKA_00692
PROKKA_00693_igtop	NA	NA	NA	-0.612642772613992	0.00260695333344217	0.0200289753890854	rpoC	"DNA-directed RNA polymerase beta* chain"	PROKKA_00693
PROKKA_00694_igtop	NA	NA	NA	-0.632955725777889	0.00585697169143858	0.0373829083528611	n/a	"rpsL_psuedo"	PROKKA_00694
PROKKA_00695_antis	NA	NA	NA	-0.881217487359444	0.00412206146467054	0.0284898495175715	rpsL	"30S ribosomal protein S12"	PROKKA_00695
PROKKA_00696_igbot	NA	NA	NA	-1.44358413366684	0.00429477130451458	0.0294955235909418	rpsG	"30S ribosomal protein S7"	PROKKA_00696
PROKKA_00696_sense	NA	NA	NA	-0.583646889629208	4.07354866200854e-05	0.000596552758468162	rpsG	"30S ribosomal protein S7"	PROKKA_00696
PROKKA_00697_antis	NA	NA	NA	-1.48629643758219	1.68090434511171e-10	8.67866921993987e-09	fusA1	"elongation factor G"	PROKKA_00697
PROKKA_00697_igtop	NA	NA	NA	-0.91514309708349	5.74594638053673e-07	1.44884706118534e-05	fusA1	"elongation factor G"	PROKKA_00697
PROKKA_00697_sense	NA	NA	NA	-0.391256417043467	0.00353191192917555	0.0254028226149823	fusA1	"elongation factor G"	PROKKA_00697
PROKKA_00700_antis	NA	NA	NA	-1.40262355628285	8.55902279193031e-08	2.67053826248934e-06	rplC	"50S ribosomal protein L3"	PROKKA_00700
PROKKA_00700_igtop	NA	NA	NA	-0.458615299669132	0.00124247842459519	0.0109413785329326	rplC	"50S ribosomal protein L3"	PROKKA_00700
PROKKA_00700_sense	NA	NA	NA	-0.424824196417836	0.00216294297348819	0.0171650204501707	rplC	"50S ribosomal protein L3"	PROKKA_00700
PROKKA_00701_antis	NA	NA	NA	-1.32822300253745	1.34074949914204e-05	0.000231205987188033	rplD	"50S ribosomal protein L4"	PROKKA_00701
PROKKA_00701_igtop	NA	NA	NA	-0.76458029288021	0.00540909266783906	0.0351449211991281	rplD	"50S ribosomal protein L4"	PROKKA_00701
PROKKA_00701_sense	NA	NA	NA	-0.420028563798669	0.00191168913534876	0.0155699451267748	rplD	"50S ribosomal protein L4"	PROKKA_00701
PROKKA_00702_sense	NA	NA	NA	-0.610699609173458	5.90585010723594e-05	0.000816266983559796	rplW	"50S ribosomal protein L23"	PROKKA_00702
PROKKA_00703_antis	NA	NA	NA	-1.76402494302616	0.000605351322151235	0.00602849296020644	rplB	"50S ribosomal protein L2"	PROKKA_00703
PROKKA_00703_igtop	NA	NA	NA	-0.796908082198665	0.000169603406028713	0.00206042008948608	rplB	"50S ribosomal protein L2"	PROKKA_00703
PROKKA_00703_sense	NA	NA	NA	-0.492584895520469	0.000430984736151725	0.00456454407982913	rplB	"50S ribosomal protein L2"	PROKKA_00703
PROKKA_00704_antis	NA	NA	NA	-1.13747492812454	7.8201207003719e-06	0.000145561645826236	rpsS	"30S ribosomal protein S19"	PROKKA_00704
PROKKA_00704_igtop	NA	NA	NA	-0.520571875269849	0.00352294226357116	0.0253593370906359	rpsS	"30S ribosomal protein S19"	PROKKA_00704
PROKKA_00705_antis	NA	NA	NA	-1.52518944851026	3.87502548224643e-05	0.000571342249919597	rplV	"50S ribosomal protein L22"	PROKKA_00705
PROKKA_00706_antis	NA	NA	NA	-1.60712465431298	2.14978063435373e-05	0.000351833909856307	rpsC	"30S ribosomal protein S3"	PROKKA_00706
PROKKA_00706_sense	NA	NA	NA	-0.491747597216127	0.00119419691622222	0.01060231735037	rpsC	"30S ribosomal protein S3"	PROKKA_00706
PROKKA_00707_antis	NA	NA	NA	-1.43682367723391	0.00285387375704118	0.0214696452459455	rplP	"50S ribosomal protein L16"	PROKKA_00707
PROKKA_00707_igtop	NA	NA	NA	-0.714922227272092	0.00442684960519629	0.0301164654709589	rplP	"50S ribosomal protein L16"	PROKKA_00707
PROKKA_00707_sense	NA	NA	NA	-0.775932952536464	2.83015367681881e-06	5.92965048133486e-05	rplP	"50S ribosomal protein L16"	PROKKA_00707
PROKKA_00708_sense	NA	NA	NA	-0.790494020301397	3.42071079299519e-06	6.9662819359359e-05	rpmC	"50S ribosomal protein L29"	PROKKA_00708
PROKKA_00709_antis	NA	NA	NA	-1.02223467233791	5.31783008321427e-05	0.0007561780023246	rpsQ	"30S ribosomal protein S17"	PROKKA_00709
PROKKA_00709_sense	NA	NA	NA	-0.419214463735706	0.00207622260327637	0.0166751433896474	rpsQ	"30S ribosomal protein S17"	PROKKA_00709
PROKKA_00710_antis	NA	NA	NA	-1.5914319530471	0.000225689741720996	0.00262769505998379	rplN	"50S ribosomal protein L14"	PROKKA_00710
PROKKA_00710_igtop	NA	NA	NA	-0.439606307064866	0.00524465915000876	0.0343596476338187	rplN	"50S ribosomal protein L14"	PROKKA_00710
PROKKA_00710_sense	NA	NA	NA	-0.608484267267851	3.47478408155697e-05	0.00052236182189645	rplN	"50S ribosomal protein L14"	PROKKA_00710
PROKKA_00711_antis	NA	NA	NA	-1.16007521090451	0.00117168207563114	0.0104237644348969	rplX	"50S ribosomal protein L24"	PROKKA_00711
PROKKA_00712_antis	NA	NA	NA	-1.51106762796892	0.000112392433776827	0.00143366466261794	rplE	"50S ribosomal protein L5"	PROKKA_00712
PROKKA_00712_igtop	NA	NA	NA	-0.643862811021854	9.18597142652411e-05	0.0011999866890613	rplE	"50S ribosomal protein L5"	PROKKA_00712
PROKKA_00712_sense	NA	NA	NA	-0.429961731589383	0.00233967070472046	0.0182831564799507	rplE	"50S ribosomal protein L5"	PROKKA_00712
PROKKA_00713_sense	NA	NA	NA	-0.617891794555371	0.00158460172414478	0.0133057457456262	rpsN	"30S ribosomal protein S14"	PROKKA_00713
PROKKA_00714_sense	NA	NA	NA	-0.652826407065419	0.000185975136393388	0.00223118718267807	rpsH	"30S ribosomal protein S8"	PROKKA_00714
PROKKA_00715_antis	NA	NA	NA	-2.18157353307767	2.90193586715779e-05	0.000450293232767918	rplF	"50S ribosomal protein L6"	PROKKA_00715
PROKKA_00715_sense	NA	NA	NA	-0.636080679702766	4.60400059541751e-05	0.000667810976523444	rplF	"50S ribosomal protein L6"	PROKKA_00715
PROKKA_00716_igtop	NA	NA	NA	-0.762982710279616	2.87082330188094e-05	0.000447065014730974	rplR	"50S ribosomal protein L18"	PROKKA_00716
PROKKA_00716_sense	NA	NA	NA	-0.687891753044769	1.27016108024338e-06	2.91465005556378e-05	rplR	"50S ribosomal protein L18"	PROKKA_00716
PROKKA_00717_antis	NA	NA	NA	-1.47612912867072	0.000214747798133648	0.00251379541297066	rpsE	"30S ribosomal protein S5"	PROKKA_00717
