locus	baseMean	log2FoldChange	Fold change	lfcSE	stat	pvalue	padj	gene	product	locusNumber
PROKKA_00274_igtop	30.08941135	-1.263800448	-2.40127469	0.417841623	-3.024592045	0.002489687	0.019262326	chpA_2	component of chemotactic signal transduction system	PROKKA_00274
PROKKA_00293_igtop	77.6234968	-1.337740625	-2.52755174	0.27114086	-4.933747815	8.07E-07	1.97E-05	desA_1	delta-9 fatty acid desaturase DesA	PROKKA_00293
PROKKA_00293_sense	301.9898001	-0.642914424	-1.561480361	0.166526826	-3.860725868	0.000113051	0.001439944	desA_1	delta-9 fatty acid desaturase DesA	PROKKA_00293
PROKKA_00298_igbot	52.01510704	1.212980541	2.318160637	0.314921529	3.851691391	0.000117305	0.001485404	oprE	Anaerobically-induced outer membrane porin OprE precursor	PROKKA_00298
PROKKA_00298_igtop	2306.616012	-0.569064562	-1.483561323	0.194930445	-2.919321096	0.003507947	0.025272368	oprE	Anaerobically-induced outer membrane porin OprE precursor	PROKKA_00298
PROKKA_00298_sense	1304.474139	-0.989522632	-1.985527898	0.149934672	-6.599691825	4.12E-11	2.38E-09	oprE	Anaerobically-induced outer membrane porin OprE precursor	PROKKA_00298
PROKKA_00300_sense	43.73314642	1.243806714	2.368225918	0.311475088	3.993278309	6.52E-05	0.000887363	aguB_1	N-carbamoylputrescine amidohydrolase	PROKKA_00300
PROKKA_00303_sense	298.4864718	-0.483711339	-1.398336269	0.178658981	-2.707456055	0.006780105	0.042007591	spuI	Glutamylpolyamine synthetase	PROKKA_00303
PROKKA_00305_sense	198.725363	-0.55797968	-1.472206126	0.20557908	-2.714185118	0.006643903	0.041459866	spuA	putative glutamine amidotransferase	PROKKA_00305
PROKKA_00306_sense	288.1925385	-0.484042174	-1.398656969	0.178419846	-2.71293908	0.006668937	0.041586165	spuB	Glutamylpolyamine synthetase	PROKKA_00306
PROKKA_00315_sense	178.6978038	-1.177006281	-2.261070979	0.201280377	-5.84759576	4.99E-09	2.10E-07	n/a	hypothetical protein	PROKKA_00315
PROKKA_00326_sense	667.7827361	-0.491203086	-1.405616553	0.150540869	-3.262921808	0.001102699	0.009950861	serA_1	D-3-phosphoglycerate dehydrogenase	PROKKA_00326
PROKKA_00327_antis	1361.979205	-0.419470219	-1.337436336	0.1366314	-3.07008652	0.002139968	0.017029431	n/a	P2	PROKKA_00327
PROKKA_00348_sense	20.76762939	-1.276871153	-2.423128902	0.455113607	-2.805609704	0.005022148	0.033202831	n/a	putative hydrolase	PROKKA_00348
PROKKA_00353_sense	104.7417311	-0.718801262	-1.645813957	0.226165208	-3.178213261	0.001481857	0.012663673	n/a	putative permease	PROKKA_00353
PROKKA_00354_sense	46.0602038	-0.868855266	-1.826213281	0.303865542	-2.85934121	0.004245219	0.02920145	lgt	prolipoprotein diacylglyceryl transferase	PROKKA_00354
PROKKA_00381_sense	22.84227578	1.359596273	2.566133582	0.416712362	3.262673243	0.001103667	0.009950861	n/a	putative acetyltransferase	PROKKA_00381
PROKKA_00382_igbot	25.87637295	1.144855386	2.211239643	0.395769489	2.892732811	0.00381906	0.026866609	n/a	putative hydrolase	PROKKA_00382
PROKKA_00385_sense	59.68359741	-0.81539543	-1.759780427	0.281201943	-2.899679219	0.003735447	0.026428442	n/a	putative peptidase	PROKKA_00385
PROKKA_00390_igtop	199.8686359	0.85317669	1.80647425	0.194069682	4.396238916	1.10E-05	0.000195374	rpoH	sigma factor RpoH	PROKKA_00390
PROKKA_00390_sense	1196.934451	0.525071236	1.439004632	0.142969893	3.672600058	0.000240095	0.002758391	rpoH	sigma factor RpoH	PROKKA_00390
PROKKA_00410_igtop	63.95193531	-0.828873468	-1.776297794	0.272481798	-3.041940694	0.002350582	0.018351889	pilT_1	twitching motility protein PilT	PROKKA_00410
PROKKA_00410_sense	88.58188696	-0.720471722	-1.647720706	0.246408616	-2.92389014	0.003456867	0.025065384	pilT_1	twitching motility protein PilT	PROKKA_00410
PROKKA_00413_sense	29.45723064	-1.078547696	-2.111909035	0.367774503	-2.932633143	0.003361008	0.02449864	n/a	TM2 domain-containing protein	PROKKA_00413
PROKKA_00423_igtop	567.1231121	0.846081365	1.797611632	0.174030927	4.861672462	1.16E-06	2.74E-05	pilG_1	twitching motility protein PilG	PROKKA_00423
PROKKA_00434_sense	23.31651282	1.378091514	2.599242997	0.411508616	3.348876457	0.0008114	0.007708741	n/a	16S ribosomal RNA methyltransferase RsmE	PROKKA_00434
PROKKA_00435_sense	244.1572621	0.90424766	1.871568251	0.182368805	4.958346152	7.11E-07	1.76E-05	bioA	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	PROKKA_00435
PROKKA_00437_sense	664.1547153	-0.410391951	-1.32904684	0.154362511	-2.658624485	0.007846036	0.046861204	n/a	cytochrome b561	PROKKA_00437
PROKKA_00438_sense	257.1567256	-0.676784005	-1.59857231	0.187532597	-3.608887286	0.000307513	0.003419704	pasP	PasP	PROKKA_00438
PROKKA_00440_igtop	286.7045619	-0.937663347	-1.91542342	0.195271792	-4.801837148	1.57E-06	3.50E-05	mexA	Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor	PROKKA_00440
PROKKA_00440_sense	283.5731435	-0.739622907	-1.669739344	0.174899939	-4.22883457	2.35E-05	0.000378027	mexA	Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor	PROKKA_00440
PROKKA_00441_sense	593.1163122	-0.846082836	-1.797613465	0.14623672	-5.785707156	7.22E-09	2.91E-07	mexB	Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB	PROKKA_00441
PROKKA_00442_sense	271.3144261	-0.758539491	-1.69177709	0.173814014	-4.364087058	1.28E-05	0.000221455	oprM_1	Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor	PROKKA_00442
PROKKA_00462_sense	337.1741946	0.842894879	1.793645621	0.190882035	4.415789457	1.01E-05	0.000180365	n/a	putative long-chain acyl-CoA thioester hydrolase family protein	PROKKA_00462
PROKKA_00468_sense	32.81936336	-1.005276601	-2.007328315	0.352610801	-2.850952374	0.00435885	0.029864663	dbpA_1	RNA helicase DbpA	PROKKA_00468
PROKKA_00469_antis	67.31132614	-2.29167926	-4.896256914	0.360726054	-6.352962955	2.11E-10	1.05E-08	n/a	cspA	PROKKA_00469
PROKKA_00469_sense	10298.22201	-0.824729636	-1.771203081	0.196489549	-4.197320622	2.70E-05	0.000425699	n/a	cspA	PROKKA_00469
PROKKA_00470_antis	10.09382091	-1.79136683	-3.461426778	0.679278579	-2.637160784	0.008360319	0.04903138	capB_1	cold acclimation protein B	PROKKA_00470
PROKKA_00470_sense	1777.448269	-1.124781703	-2.180685477	0.184656018	-6.09122689	1.12E-09	5.20E-08	capB_1	cold acclimation protein B	PROKKA_00470
PROKKA_00486_sense	23.01113471	2.222117424	4.665777223	0.488935777	4.544804302	5.50E-06	0.00010694	fiuA_2	Ferrichrome receptor FiuA	PROKKA_00486
PROKKA_00488_sense	13.30473136	2.514231632	5.712933086	0.69492087	3.618011403	0.000296875	0.003331302	fiuI_1	FiuI	PROKKA_00488
PROKKA_00498_sense	328.4896378	-0.8753661	-1.834473546	0.161996062	-5.403625803	6.53E-08	2.12E-06	glcB	malate synthase G	PROKKA_00498
PROKKA_00499_igbot	353.2806048	-0.849936519	-1.802421614	0.224366742	-3.788157335	0.000151769	0.001869946	n/a	putative acetyltransferase	PROKKA_00499
PROKKA_00501_igtop	57.96727244	1.621772686	3.0775295	0.29804998	5.441277616	5.29E-08	1.77E-06	n/a	putative permease	PROKKA_00501
PROKKA_00514_antis	62.67942377	1.068585068	2.097375344	0.306032235	3.49174024	0.000479885	0.004985054	cupB2_1	chaperone CupB2	PROKKA_00514
PROKKA_00535_igtop	11.91593254	1.520846993	2.869594714	0.572385445	2.657032958	0.007883174	0.046898935	nirQ_1	regulatory protein NirQ	PROKKA_00535
PROKKA_00543_igtop	165.1492021	0.7533194	1.68566681	0.202852375	3.713633613	0.000204305	0.002407159	n/a	RsmY	PROKKA_00543
PROKKA_00544_sense	18.26011266	-1.648448563	-3.134963319	0.493361152	-3.341261377	0.000833987	0.007854507	cynR_2	transcriptional regulator CynR	PROKKA_00544
PROKKA_00577_sense	263.6964138	-0.879022201	-1.839128394	0.173602519	-5.063418483	4.12E-07	1.09E-05	n/a	putative metal-dependent hydrolase	PROKKA_00577
PROKKA_00595_igbot	195.265348	0.700242924	1.624778353	0.228576605	3.063493416	0.00218769	0.017345544	dnaG	DNA primase	PROKKA_00595
PROKKA_00595_sense	699.6423297	0.621769384	1.538761229	0.193180581	3.218591537	0.001288218	0.011249188	dnaG	DNA primase	PROKKA_00595
PROKKA_00597_sense	5323.987574	-0.534766939	-1.448708104	0.141142365	-3.788847804	0.000151348	0.00186741	rpsU	30S ribosomal protein S21	PROKKA_00597
PROKKA_00614_igtop	263.791659	0.624819571	1.542017962	0.17775323	3.51509545	0.000439596	0.004638753	n/a	putative phosphotransferase	PROKKA_00614
PROKKA_00625_sense	81.12466021	-1.139009914	-2.202298331	0.259277665	-4.393012081	1.12E-05	0.000197819	rpe	ribulose-phosphate 3-epimerase	PROKKA_00625
PROKKA_00626_sense	128.1285312	-0.569925484	-1.484446896	0.208000272	-2.740022784	0.006143493	0.038868457	n/a	phosphoglycolate phosphatase	PROKKA_00626
PROKKA_00628_sense	273.3591222	1.289418573	2.444295271	0.194193995	6.639847813	3.14E-11	1.84E-09	prtN	transcriptional regulator PrtN	PROKKA_00628
PROKKA_00629_sense	170.3381243	0.724432738	1.65225085	0.203925993	3.552429623	0.000381691	0.004102588	prtR_1	transcriptional regulator PrtR	PROKKA_00629
PROKKA_00633_sense	48.75144115	-0.879936961	-1.840294887	0.297377608	-2.958988633	0.003086505	0.022799736	n/a	putative holin	PROKKA_00633
PROKKA_00634_sense	114.9808928	-0.761247035	-1.694955075	0.260733603	-2.91963532	0.003504412	0.025267889	n/a	phage protein	PROKKA_00634
PROKKA_00635_sense	133.0508487	-1.56769785	-2.964313126	0.303645163	-5.162927137	2.43E-07	6.83E-06	n/a	putative baseplate assembly protein V	PROKKA_00635
PROKKA_00636_igtop	31.99105508	-1.386394767	-2.61424575	0.388524548	-3.568358225	0.000359225	0.00390466	n/a	putative bacteriophage protein	PROKKA_00636
PROKKA_00636_sense	146.65028	-1.601052963	-3.033646457	0.260887375	-6.136950724	8.41E-10	4.01E-08	n/a	putative bacteriophage protein	PROKKA_00636
PROKKA_00637_sense	119.8756146	-1.416046775	-2.668532856	0.261877234	-5.4072924	6.40E-08	2.09E-06	n/a	putative bacteriophage protein	PROKKA_00637
PROKKA_00638_sense	63.34819968	-1.139960047	-2.203749202	0.279901211	-4.072722807	4.65E-05	0.000669522	n/a	putative bacteriophage protein	PROKKA_00638
PROKKA_00639_sense	1016.837196	-1.258931668	-2.393184573	0.20206562	-6.230311054	4.66E-10	2.27E-08	n/a	putative bacteriophage protein	PROKKA_00639
PROKKA_00640_sense	193.0135484	-1.49978537	-2.828006371	0.225588876	-6.648312623	2.96E-11	1.75E-09	n/a	prophage tail fimber assembly protein	PROKKA_00640
PROKKA_00641_sense	413.4878947	-0.82215286	-1.768042384	0.24399203	-3.369588999	0.000752804	0.007255355	n/a	putative bacteriophage protein	PROKKA_00641
PROKKA_00642_sense	179.3243717	-0.895605391	-1.860390388	0.253949333	-3.526708975	0.000420759	0.004472627	n/a	putative bacteriophage protein	PROKKA_00642
PROKKA_00644_antis	6.690495553	-2.169582175	-4.498930795	0.823584369	-2.634316842	0.008430678	0.049377243	n/a	putative tail length determinator protein	PROKKA_00644
PROKKA_00644_igtop	106.8837221	-1.072345376	-2.102849172	0.274150413	-3.91152201	9.17E-05	0.001199987	n/a	putative tail length determinator protein	PROKKA_00644
PROKKA_00644_sense	451.4585384	-0.955516905	-1.939274335	0.221568695	-4.312508603	1.61E-05	0.000271336	n/a	putative tail length determinator protein	PROKKA_00644
PROKKA_00645_sense	62.7699084	-0.848033214	-1.8000453	0.27932883	-3.035967376	0.002397653	0.018618838	n/a	putative tail formation protein	PROKKA_00645
PROKKA_00651_igtop	140.2908807	-0.638784419	-1.557016701	0.213865455	-2.986851798	0.002818663	0.021297113	trpG	anthranilate synthase component II	PROKKA_00651
PROKKA_00654_sense	1242.193204	-0.411397289	-1.329973306	0.140723736	-2.923439219	0.003461878	0.025065384	vfr_2	transcriptional regulator Vfr	PROKKA_00654
PROKKA_00655_sense	58.58356864	-0.979671466	-1.972016285	0.274669662	-3.566726144	0.000361469	0.003924132	n/a	putative redox protein	PROKKA_00655
PROKKA_00656_antis	20.24778221	-1.227131006	-2.341009852	0.440525783	-2.785605413	0.005342787	0.034767505	speD	S-adenosylmethionine decarboxylase proenzyme	PROKKA_00656
PROKKA_00656_igtop	1600.67159	-0.439630567	-1.356256985	0.138500231	-3.174222639	0.001502384	0.012741129	speD	S-adenosylmethionine decarboxylase proenzyme	PROKKA_00656
PROKKA_00666_sense	427.2331804	0.766374094	1.700989333	0.164533296	4.6578663	3.20E-06	6.57E-05	n/a	putative integral membrane protein	PROKKA_00666
PROKKA_00669_sense	2230.374035	0.430249365	1.347466462	0.137938323	3.119143076	0.001813779	0.014870242	n/a	putative metallopeptidase	PROKKA_00669
PROKKA_00674_sense	1117.922824	-0.55478429	-1.468948982	0.193167706	-2.872034372	0.004078386	0.028323395	n/a	23S ribosomal RNA	PROKKA_00674
PROKKA_00676_igtop	717.3869861	-0.753930423	-1.68638089	0.201216371	-3.746864231	0.000179059	0.002157163	birA	BirA bifunctional protein	PROKKA_00676
PROKKA_00676_sense	364.1060946	-1.068261929	-2.09690562	0.166932325	-6.399371299	1.56E-10	8.20E-09	birA	BirA bifunctional protein	PROKKA_00676
PROKKA_00681_sense	1553.950449	-0.622447595	-1.53948477	0.160556682	-3.87680904	0.000105835	0.001360024	n/a	tRNA-Thr	PROKKA_00681
PROKKA_00684_sense	158.1146774	-0.999322907	-1.99906157	0.216092869	-4.62450664	3.75E-06	7.56E-05	n/a	hypothetical protein	PROKKA_00684
PROKKA_00685_antis	38.46651641	-1.011818986	-2.016451892	0.340106401	-2.975007185	0.002929817	0.021907958	nusG	transcription antitermination protein NusG	PROKKA_00685
PROKKA_00685_igtop	557.0571106	-0.507477884	-1.421562849	0.149727687	-3.389338961	0.000700613	0.006812916	nusG	transcription antitermination protein NusG	PROKKA_00685
PROKKA_00687_sense	2244.877882	-0.40490626	-1.324002879	0.140865811	-2.87441116	0.004047816	0.028156182	rplA	50S ribosomal protein L1	PROKKA_00687
PROKKA_00688_sense	18.1109363	-1.423560834	-2.682467765	0.536042555	-2.655686234	0.007914722	0.047022121	n/a	P27	PROKKA_00688
PROKKA_00689_antis	27.57159901	-1.703821885	-3.257628041	0.415152542	-4.104086359	4.06E-05	0.000595755	rplJ	50S ribosomal protein L10	PROKKA_00689
PROKKA_00689_sense	12198.26168	-0.358636111	-1.282213151	0.127802587	-2.806172549	0.005013384	0.033170169	rplJ	50S ribosomal protein L10	PROKKA_00689
PROKKA_00690_antis	12.90604896	-1.660397755	-3.161036633	0.588015522	-2.823731164	0.004746818	0.031843697	rplL	50S ribosomal protein L7 / L12	PROKKA_00690
PROKKA_00690_sense	4525.065222	-0.52143664	-1.435383896	0.143121293	-3.64331981	0.000269144	0.003051707	rplL	50S ribosomal protein L7 / L12	PROKKA_00690
PROKKA_00691_sense	82.33387639	-0.831396335	-1.779406756	0.279111144	-2.978728561	0.002894471	0.021718545	n/a	P26	PROKKA_00691
PROKKA_00692_antis	39.27786707	-0.954765127	-1.938264056	0.335854591	-2.842793136	0.004472009	0.03037604	rpoB	DNA-directed RNA polymerase beta chain	PROKKA_00692
PROKKA_00693_igtop	273.3993825	-0.612642773	-1.529057619	0.203492348	-3.010642799	0.002606953	0.020028975	rpoC	DNA-directed RNA polymerase beta* chain	PROKKA_00693
PROKKA_00694_igtop	166.2133786	-0.632955726	-1.550738822	0.229691045	-2.755683076	0.005856972	0.037382908	n/a	rpsL_psuedo	PROKKA_00694
PROKKA_00695_antis	68.87627878	-0.881217487	-1.841929046	0.307187148	-2.868666525	0.004122061	0.02848985	rpsL	30S ribosomal protein S12	PROKKA_00695
PROKKA_00696_igbot	18.19765169	-1.443584134	-2.719957546	0.505517118	-2.855658257	0.004294771	0.029495524	rpsG	30S ribosomal protein S7	PROKKA_00696
PROKKA_00696_sense	3391.154287	-0.58364689	-1.498632755	0.142239524	-4.103268029	4.07E-05	0.000596553	rpsG	30S ribosomal protein S7	PROKKA_00696
PROKKA_00697_antis	139.618671	-1.486296438	-2.801688259	0.232670774	-6.387980802	1.68E-10	8.68E-09	fusA1	elongation factor G	PROKKA_00697
PROKKA_00697_igtop	434.8322543	-0.915143097	-1.885756106	0.183044503	-4.999566127	5.75E-07	1.45E-05	fusA1	elongation factor G	PROKKA_00697
PROKKA_00697_sense	33971.20248	-0.391256417	-1.311535099	0.134120612	-2.917198261	0.003531912	0.025402823	fusA1	elongation factor G	PROKKA_00697
PROKKA_00700_antis	93.52930088	-1.402623556	-2.643819266	0.261931329	-5.354928558	8.56E-08	2.67E-06	rplC	50S ribosomal protein L3	PROKKA_00700
PROKKA_00700_igtop	2003.451149	-0.4586153	-1.374222205	0.142032558	-3.228944874	0.001242478	0.010941379	rplC	50S ribosomal protein L3	PROKKA_00700
PROKKA_00700_sense	10651.98862	-0.424824196	-1.34240891	0.138519283	-3.066895724	0.002162943	0.01716502	rplC	50S ribosomal protein L3	PROKKA_00700
PROKKA_00701_antis	52.23627345	-1.328223003	-2.510932076	0.305103898	-4.353346555	1.34E-05	0.000231206	rplD	50S ribosomal protein L4	PROKKA_00701
PROKKA_00701_igtop	101.9587215	-0.764580293	-1.698875691	0.274870247	-2.78160442	0.005409093	0.035144921	rplD	50S ribosomal protein L4	PROKKA_00701
PROKKA_00701_sense	15867.41307	-0.420028564	-1.337954045	0.135335064	-3.103619658	0.001911689	0.015569945	rplD	50S ribosomal protein L4	PROKKA_00701
PROKKA_00702_sense	3167.329192	-0.610699609	-1.526999521	0.15204614	-4.016541367	5.91E-05	0.000816267	rplW	50S ribosomal protein L23	PROKKA_00702
PROKKA_00703_antis	16.00181353	-1.764024943	-3.396443707	0.514412163	-3.429205352	0.000605351	0.006028493	rplB	50S ribosomal protein L2	PROKKA_00703
PROKKA_00703_igtop	144.5906334	-0.796908082	-1.737373674	0.211917897	-3.760456737	0.000169603	0.00206042	rplB	50S ribosomal protein L2	PROKKA_00703
PROKKA_00703_sense	5719.071549	-0.492584896	-1.406963494	0.13992515	-3.520345661	0.000430985	0.004564544	rplB	50S ribosomal protein L2	PROKKA_00703
PROKKA_00704_antis	82.3836391	-1.137474928	-2.199956394	0.254465801	-4.470050291	7.82E-06	0.000145562	rpsS	30S ribosomal protein S19	PROKKA_00704
PROKKA_00704_igtop	705.5581149	-0.520571875	-1.434523772	0.178400766	-2.917991258	0.003522942	0.025359337	rpsS	30S ribosomal protein S19	PROKKA_00704
PROKKA_00705_antis	34.97977329	-1.525189449	-2.878245094	0.370658754	-4.11480757	3.88E-05	0.000571342	rplV	50S ribosomal protein L22	PROKKA_00705
PROKKA_00706_antis	47.43341439	-1.607124654	-3.046440692	0.378259288	-4.24873811	2.15E-05	0.000351834	rpsC	30S ribosomal protein S3	PROKKA_00706
PROKKA_00706_sense	16091.77972	-0.491747597	-1.40614717	0.151761652	-3.240262539	0.001194197	0.010602317	rpsC	30S ribosomal protein S3	PROKKA_00706
PROKKA_00707_antis	17.2903108	-1.436823677	-2.707241665	0.481661928	-2.983054281	0.002853874	0.021469645	rplP	50S ribosomal protein L16	PROKKA_00707
PROKKA_00707_igtop	82.58766719	-0.714922227	-1.641394731	0.251200121	-2.846026606	0.00442685	0.030116465	rplP	50S ribosomal protein L16	PROKKA_00707
PROKKA_00707_sense	7159.703328	-0.775932953	-1.71229699	0.165699343	-4.682776266	2.83E-06	5.93E-05	rplP	50S ribosomal protein L16	PROKKA_00707
PROKKA_00708_sense	2014.517319	-0.79049402	-1.729666649	0.170225956	-4.643792528	3.42E-06	6.97E-05	rpmC	50S ribosomal protein L29	PROKKA_00708
PROKKA_00709_antis	84.49399168	-1.022234672	-2.031062553	0.252953228	-4.041200349	5.32E-05	0.000756178	rpsQ	30S ribosomal protein S17	PROKKA_00709
PROKKA_00709_sense	4238.835383	-0.419214464	-1.337199262	0.136148077	-3.079106767	0.002076223	0.016675143	rpsQ	30S ribosomal protein S17	PROKKA_00709
PROKKA_00710_antis	23.64487029	-1.591431953	-3.013483056	0.431472237	-3.688376256	0.00022569	0.002627695	rplN	50S ribosomal protein L14	PROKKA_00710
PROKKA_00710_igtop	924.7187376	-0.439606307	-1.356234178	0.157474135	-2.791609606	0.005244659	0.034359648	rplN	50S ribosomal protein L14	PROKKA_00710
PROKKA_00710_sense	5363.227226	-0.608484267	-1.524656524	0.146980922	-4.139886032	3.47E-05	0.000522362	rplN	50S ribosomal protein L14	PROKKA_00710
PROKKA_00711_antis	39.90330389	-1.160075211	-2.234690773	0.35742071	-3.245685485	0.001171682	0.010423764	rplX	50S ribosomal protein L24	PROKKA_00711
PROKKA_00712_antis	44.14921949	-1.511067628	-2.850208832	0.391250134	-3.862152359	0.000112392	0.001433665	rplE	50S ribosomal protein L5	PROKKA_00712
PROKKA_00712_igtop	627.4263575	-0.643862811	-1.562507171	0.1646226	-3.9111447	9.19E-05	0.001199987	rplE	50S ribosomal protein L5	PROKKA_00712
PROKKA_00712_sense	12080.47984	-0.429961732	-1.347197841	0.141279514	-3.043340967	0.002339671	0.018283156	rplE	50S ribosomal protein L5	PROKKA_00712
PROKKA_00713_sense	678.5089863	-0.617891795	-1.534630991	0.195614218	-3.158726408	0.001584602	0.013305746	rpsN	30S ribosomal protein S14	PROKKA_00713
PROKKA_00714_sense	6801.385525	-0.652826407	-1.572245392	0.17467661	-3.737343009	0.000185975	0.002231187	rpsH	30S ribosomal protein S8	PROKKA_00714
PROKKA_00715_antis	22.15803681	-2.181573533	-4.536480738	0.521779169	-4.18102842	2.90E-05	0.000450293	rplF	50S ribosomal protein L6	PROKKA_00715
PROKKA_00715_sense	6254.168153	-0.63608068	-1.554101445	0.156098388	-4.074870268	4.60E-05	0.000667811	rplF	50S ribosomal protein L6	PROKKA_00715
PROKKA_00716_igtop	361.4659136	-0.76298271	-1.696995466	0.182379979	-4.183478438	2.87E-05	0.000447065	rplR	50S ribosomal protein L18	PROKKA_00716
PROKKA_00716_sense	3106.950089	-0.687891753	-1.610927708	0.141998281	-4.844366778	1.27E-06	2.91E-05	rplR	50S ribosomal protein L18	PROKKA_00716
PROKKA_00717_antis	26.68823066	-1.476129129	-2.782012937	0.398845554	-3.701004346	0.000214748	0.002513795	rpsE	30S ribosomal protein S5	PROKKA_00717
PROKKA_00717_sense	5861.089841	-0.670721857	-1.591869265	0.157440447	-4.260162304	2.04E-05	0.000336865	rpsE	30S ribosomal protein S5	PROKKA_00717
PROKKA_00718_sense	1467.35399	-0.883418993	-1.844741915	0.166884661	-5.293590108	1.20E-07	3.61E-06	rpmD	50S ribosomal protein L30	PROKKA_00718
